
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70 ★,22,MIL,NBA,C,82,,3534,938,1810,.518,,,,938,1810,.518,485,743,.653,,,1190,337,,,,283,2361
1970-71 ★,23,MIL,NBA,C,82,,3288,1063,1843,.577,,,,1063,1843,.577,470,681,.690,,,1311,272,,,,264,2596
1971-72 ★,24,MIL,NBA,C,81,,3583,1159,2019,.574,,,,1159,2019,.574,504,732,.689,,,1346,370,,,,235,2822
1972-73 ★,25,MIL,NBA,C,76,,3254,982,1772,.554,,,,982,1772,.554,328,460,.713,,,1224,379,,,,208,2292
1973-74 ★,26,MIL,NBA,C,81,,3548,948,1759,.539,,,,948,1759,.539,295,420,.702,287,891,1178,386,112,283,,238,2191
1974-75 ★,27,MIL,NBA,C,65,,2747,812,1584,.513,,,,812,1584,.513,325,426,.763,194,718,912,264,65,212,,205,1949
1975-76 ★,28,LAL,NBA,C,82,,3379,914,1728,.529,,,,914,1728,.529,447,636,.703,272,1111,1383,413,119,338,,292,2275
1976-77 ★,29,LAL,NBA,C,82,,3016,888,1533,.579,,,,888,1533,.579,376,536,.701,266,824,1090,319,101,261,,262,2152
1977-78,30,LAL,NBA,C,62,,2265,663,1205,.550,,,,663,1205,.550,274,350,.783,186,615,801,269,103,185,208,182,1600
1978-79 ★,31,LAL,NBA,C,80,,3157,777,1347,.577,,,,777,1347,.577,349,474,.736,207,818,1025,431,76,316,282,230,1903
1979-80 ★,32,LAL,NBA,C,82,,3143,835,1383,.604,0,1,.000,835,1382,.604,364,476,.765,190,696,886,371,81,280,297,216,2034
1980-81 ★,33,LAL,NBA,C,80,,2976,836,1457,.574,0,1,.000,836,1456,.574,423,552,.766,197,624,821,272,59,228,249,244,2095
1981-82 ★,34,LAL,NBA,C,76,76,2677,753,1301,.579,0,3,.000,753,1298,.580,312,442,.706,172,487,659,225,63,207,230,224,1818
1982-83 ★,35,LAL,NBA,C,79,79,2554,722,1228,.588,0,2,.000,722,1226,.589,278,371,.749,167,425,592,200,61,170,200,220,1722
1983-84 ★,36,LAL,NBA,C,80,80,2622,716,1238,.578,0,1,.000,716,1237,.579,285,394,.723,169,418,587,211,55,143,221,211,1717
1984-85 ★,37,LAL,NBA,C,79,79,2630,723,1207,.599,0,1,.000,723,1206,.600,289,395,.732,162,460,622,249,63,162,197,238,1735
1985-86 ★,38,LAL,NBA,C,79,79,2629,755,1338,.564,0,2,.000,755,1336,.565,336,439,.765,133,345,478,280,67,130,203,248,1846
1986-87 ★,39,LAL,NBA,C,78,78,2441,560,993,.564,1,3,.333,559,990,.565,245,343,.714,152,371,523,203,49,97,186,245,1366
1987-88 ★,40,LAL,NBA,C,80,80,2308,480,903,.532,0,1,.000,480,902,.532,205,269,.762,118,360,478,135,48,92,159,216,1165
1988-89 ★,41,LAL,NBA,C,74,74,1695,313,659,.475,0,3,.000,313,656,.477,122,165,.739,103,231,334,74,38,85,95,196,748
Career,,,NBA,,1560,625,57446,15837,28307,.559,1,18,.056,15836,28289,.560,6712,9304,.721,2975,9394,17440,5660,1160,3189,2527,4657,38387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 seasons,,LAL,NBA,,1093,625,37492,9935,17520,.567,1,18,.056,9934,17502,.568,4305,5842,.737,2494,7785,10279,3652,983,2694,2527,3224,24176
6 seasons,,MIL,NBA,,467,,19954,5902,10787,.547,,,,5902,10787,.547,2407,3462,.695,481,1609,7161,2008,177,495,,1433,14211
