
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,21,MIL,NBA,SG,82,81,2532,390,908,.430,117,298,.393,273,610,.448,205,249,.823,97,229,326,210,75,10,149,218,1102
1997-98,22,MIL,NBA,SG,82,82,3287,563,1315,.428,134,368,.364,429,947,.453,342,391,.875,127,278,405,356,111,12,263,244,1602
1998-99,23,MIL,NBA,SG,50,50,1719,303,673,.450,74,208,.356,229,465,.492,176,195,.903,57,155,212,178,53,7,122,117,856
1999-00 ★,24,MIL,NBA,SG,82,82,3070,642,1411,.455,172,407,.423,470,1004,.468,353,398,.887,83,276,359,308,110,19,183,187,1809
2000-01 ★,25,MIL,NBA,SG,82,82,3129,628,1309,.480,202,467,.433,426,842,.506,348,392,.888,101,327,428,374,124,20,204,192,1806
2001-02 ★,26,MIL,NBA,SG,69,67,2525,530,1148,.462,229,528,.434,301,620,.485,214,245,.873,81,231,312,271,88,18,159,157,1503
2002-03,27,TOT,NBA,SG,76,75,2880,598,1363,.439,201,533,.377,397,830,.478,316,345,.916,94,287,381,334,103,14,198,220,1713
2002-03,27,MIL,NBA,SG,47,46,1683,351,803,.437,123,311,.395,228,492,.463,178,195,.913,45,173,218,164,57,11,117,149,1003
2002-03,27,SEA,NBA,SG,29,29,1197,247,560,.441,78,222,.351,169,338,.500,138,150,.920,49,114,163,170,46,3,81,71,710
2003-04 ★,28,SEA,NBA,SG,56,56,2152,447,1017,.440,148,378,.392,299,639,.468,245,271,.904,69,217,286,268,71,11,156,132,1287
2004-05 ★,29,SEA,NBA,SG,78,78,3064,640,1494,.428,209,556,.376,431,938,.459,378,428,.883,79,268,347,289,84,5,171,167,1867
2005-06 ★,30,SEA,NBA,SG,78,78,3022,681,1500,.454,269,653,.412,412,847,.486,324,359,.903,71,261,332,286,105,16,188,151,1955
2006-07 ★,31,SEA,NBA,SG,55,55,2219,505,1153,.438,165,443,.372,340,710,.479,279,309,.903,57,190,247,228,82,11,154,113,1454
2007-08 ★,32,BOS,NBA,SG,73,73,2624,439,986,.445,180,452,.398,259,534,.485,215,237,.907,75,193,268,225,65,16,127,147,1273
2008-09 ★,33,BOS,NBA,SG,79,79,2876,499,1040,.480,199,486,.409,300,554,.542,237,249,.952,66,212,278,218,69,13,134,157,1434
2009-10,34,BOS,NBA,SG,80,80,2819,464,973,.477,145,399,.363,319,574,.556,231,253,.913,45,208,253,210,64,25,129,182,1304
2010-11 ★,35,BOS,NBA,SG,80,80,2890,480,978,.491,168,378,.444,312,600,.520,193,219,.881,51,223,274,219,77,16,117,147,1321
2011-12,36,BOS,NBA,SG,46,42,1565,226,493,.458,106,234,.453,120,259,.463,97,106,.915,14,128,142,109,49,8,68,83,655
2012-13,37,MIA,NBA,SG,79,0,2035,292,651,.449,139,332,.419,153,319,.480,140,158,.886,40,177,217,135,67,15,103,129,863
2013-14,38,MIA,NBA,SG,73,9,1936,240,543,.442,116,309,.375,124,234,.530,105,116,.905,23,182,205,143,54,8,84,115,701
Career,,,NBA,,1300,1149,46344,8567,18955,.452,2973,7429,.400,5594,11526,.485,4398,4920,.894,1230,4042,5272,4361,1451,244,2709,2858,24505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MIL,NBA,,494,490,17945,3407,7567,.450,1051,2587,.406,2356,4980,.473,1816,2065,.879,591,1669,2260,1861,618,97,1197,1264,9681
5 seasons,,BOS,NBA,,358,354,12774,2108,4470,.472,798,1949,.409,1310,2521,.520,973,1064,.914,251,964,1215,981,324,78,575,716,5987
5 seasons,,SEA,NBA,,296,296,11654,2520,5724,.440,869,2252,.386,1651,3472,.476,1364,1517,.899,325,1050,1375,1241,388,46,750,634,7273
2 seasons,,MIA,NBA,,152,9,3971,532,1194,.446,255,641,.398,277,553,.501,245,274,.894,63,359,422,278,121,23,187,244,1564
