
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,21,PHI,NBA,PF,82,60,2347,427,783,.545,1,6,.167,426,777,.548,293,400,.733,266,437,703,155,95,80,209,301,1148
1985-86,22,PHI,NBA,PF,80,80,2952,595,1041,.572,17,75,.227,578,966,.598,396,578,.685,354,672,1026,312,173,125,350,333,1603
1986-87 ★,23,PHI,NBA,PF,68,62,2740,557,937,.594,21,104,.202,536,833,.643,429,564,.761,390,604,994,331,119,104,322,252,1564
1987-88 ★,24,PHI,NBA,PF,80,80,3170,753,1283,.587,44,157,.280,709,1126,.630,714,951,.751,385,566,951,254,100,103,304,278,2264
1988-89 ★,25,PHI,NBA,PF,79,79,3088,700,1208,.579,35,162,.216,665,1046,.636,602,799,.753,403,583,986,325,126,67,254,262,2037
1989-90 ★,26,PHI,NBA,PF,79,79,3085,706,1177,.600,20,92,.217,686,1085,.632,557,744,.749,361,548,909,307,148,50,243,250,1989
1990-91 ★,27,PHI,NBA,PF,67,67,2498,665,1167,.570,44,155,.284,621,1012,.614,475,658,.722,258,422,680,284,110,33,210,173,1849
1991-92 ★,28,PHI,NBA,PF,75,75,2881,622,1126,.552,32,137,.234,590,989,.597,454,653,.695,271,559,830,308,136,44,235,196,1730
1992-93 ★,29,PHO,NBA,PF,76,76,2859,716,1376,.520,67,220,.305,649,1156,.561,445,582,.765,237,691,928,385,119,74,233,196,1944
1993-94 ★,30,PHO,NBA,PF,65,65,2298,518,1046,.495,48,178,.270,470,868,.541,318,452,.704,198,529,727,296,101,37,206,160,1402
1994-95 ★,31,PHO,NBA,PF,68,66,2382,554,1141,.486,74,219,.338,480,922,.521,379,507,.748,203,553,756,276,110,45,150,201,1561
1995-96 ★,32,PHO,NBA,PF,71,71,2632,580,1160,.500,49,175,.280,531,985,.539,440,566,.777,243,578,821,262,114,56,218,208,1649
1996-97 ★,33,HOU,NBA,PF,53,53,2009,335,692,.484,58,205,.283,277,487,.569,288,415,.694,212,504,716,248,69,25,151,153,1016
1997-98,34,HOU,NBA,PF,68,41,2243,361,744,.485,18,84,.214,343,660,.520,296,397,.746,241,553,794,217,71,28,147,187,1036
1998-99,35,HOU,NBA,PF,42,40,1526,240,502,.478,4,25,.160,236,477,.495,192,267,.719,167,349,516,192,43,13,100,89,676
1999-00,36,HOU,NBA,PF,20,18,620,106,222,.477,6,26,.231,100,196,.510,71,110,.645,71,138,209,63,14,4,44,48,289
Career,,,NBA,,1073,1012,39330,8435,15605,.541,538,2020,.266,7897,13585,.581,6349,8643,.735,4260,8286,12546,4215,1648,888,3376,3287,23757
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,PHI,NBA,,610,582,22761,5025,8722,.576,214,888,.241,4811,7834,.614,3920,5347,.733,2688,4391,7079,2276,1007,606,2127,2045,14184
4 seasons,,PHO,NBA,,280,278,10171,2368,4723,.501,238,792,.301,2130,3931,.542,1582,2107,.751,881,2351,3232,1219,444,212,807,765,6556
4 seasons,,HOU,NBA,,183,152,6398,1042,2160,.482,86,340,.253,956,1820,.525,847,1189,.712,691,1544,2235,720,197,70,442,477,3017
