
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1965-66 ★,21,SFW,NBA,SF,80,,2990,745,1698,.439,,,,745,1698,.439,569,660,.862,,,850,173,,,,297,2059
1966-67 ★,22,SFW,NBA,SF,78,,3175,1011,2240,.451,,,,1011,2240,.451,753,852,.884,,,714,282,,,,258,2775
1967-68,23,Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA),Did Not Play (legal—barred from playing in ABA)
1968-69 ★,24,OAK,ABA,SF,35,,1361,392,767,.511,3,10,.300,389,757,.514,403,454,.888,82,247,329,136,,,141,124,1190
1969-70 ★,25,WSA,ABA,SF,52,,1849,517,1036,.499,8,39,.205,509,997,.511,400,463,.864,130,233,363,178,,,184,174,1442
1970-71 ★,26,NYA,ABA,SF,59,,2502,632,1348,.469,19,86,.221,613,1262,.486,451,507,.890,105,296,401,294,,,202,205,1734
1971-72 ★,27,NYA,ABA,SF,80,,3616,902,1969,.458,73,237,.308,829,1732,.479,641,730,.878,155,447,602,327,,,263,261,2518
1972-73 ★,28,GSW,NBA,SF,82,,3075,737,1630,.452,,,,737,1630,.452,358,397,.902,,,728,399,,,,245,1832
1973-74 ★,29,GSW,NBA,SF,80,,2918,796,1746,.456,,,,796,1746,.456,417,464,.899,103,437,540,484,169,40,,265,2009
1974-75 ★,30,GSW,NBA,SF,80,,3235,1028,2217,.464,,,,1028,2217,.464,394,436,.904,92,364,456,492,228,33,,225,2450
1975-76 ★,31,GSW,NBA,SF,81,,3122,707,1624,.435,,,,707,1624,.435,287,311,.923,74,422,496,496,202,27,,215,1701
1976-77 ★,32,GSW,NBA,SF,79,,2904,682,1551,.440,,,,682,1551,.440,359,392,.916,73,349,422,475,172,58,,194,1723
1977-78 ★,33,GSW,NBA,SF,82,,3024,760,1686,.451,,,,760,1686,.451,378,409,.924,75,374,449,446,158,45,224,188,1898
1978-79,34,HOU,NBA,SF,80,,2566,461,1000,.461,,,,461,1000,.461,160,169,.947,40,237,277,502,95,38,198,195,1082
1979-80,35,HOU,NBA,SF,72,,1816,325,771,.422,73,221,.330,252,550,.458,143,153,.935,53,183,236,268,80,28,152,182,866
Career,,,TOT,,1020,,38153,9695,21283,.456,176,593,.297,9519,20690,.460,5713,6397,.893,982,3589,6863,4952,1104,269,1364,3028,25279
,,,NBA,,794,,28825,7252,16163,.449,73,221,.330,7179,15942,.450,3818,4243,.900,510,2366,5168,4017,1104,269,574,2264,18395
,,,ABA,,226,,9328,2443,5120,.477,103,372,.277,2340,4748,.493,1895,2154,.880,472,1223,1695,935,,,790,764,6884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,SFWGSW,NBA,,642,,24443,6466,14392,.449,,,,6466,14392,.449,3515,3921,.896,417,1946,4655,3247,929,203,224,1887,16447
2 seasons,,HOU,NBA,,152,,4382,786,1771,.444,73,221,.330,713,1550,.460,303,322,.941,93,420,513,770,175,66,350,377,1948
2 seasons,,NYA,ABA,,139,,6118,1534,3317,.462,92,323,.285,1442,2994,.482,1092,1237,.883,260,743,1003,621,,,465,466,4252
2 seasons,,OAKWSA,ABA,,87,,3210,909,1803,.504,11,49,.224,898,1754,.512,803,917,.876,212,480,692,314,,,325,298,2632
