
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1958-59 ★,24,MNL,NBA,SF,70,,2855,605,1482,.408,,,,605,1482,.408,532,685,.777,,,1050,287,,,,270,1742
1959-60 ★,25,MNL,NBA,SF,70,,2873,755,1781,.424,,,,755,1781,.424,564,770,.732,,,1150,243,,,,234,2074
1960-61 ★,26,LAL,NBA,SF,73,,3133,931,2166,.430,,,,931,2166,.430,676,863,.783,,,1447,371,,,,279,2538
1961-62 ★,27,LAL,NBA,SF,48,,2129,680,1588,.428,,,,680,1588,.428,476,631,.754,,,892,222,,,,155,1836
1962-63 ★,28,LAL,NBA,SF,80,,3370,1029,2273,.453,,,,1029,2273,.453,661,790,.837,,,1146,386,,,,226,2719
1963-64 ★,29,LAL,NBA,SF,78,,3164,756,1778,.425,,,,756,1778,.425,471,586,.804,,,936,347,,,,235,1983
1964-65 ★,30,LAL,NBA,SF,74,,3056,763,1903,.401,,,,763,1903,.401,483,610,.792,,,950,280,,,,235,2009
1965-66,31,LAL,NBA,SF,65,,1975,415,1034,.401,,,,415,1034,.401,249,337,.739,,,621,224,,,,157,1079
1966-67 ★,32,LAL,NBA,SF,70,,2706,711,1658,.429,,,,711,1658,.429,440,541,.813,,,898,215,,,,211,1862
1967-68 ★,33,LAL,NBA,SF,77,,3029,757,1709,.443,,,,757,1709,.443,488,621,.786,,,941,355,,,,232,2002
1968-69 ★,34,LAL,NBA,SF,76,,3064,730,1632,.447,,,,730,1632,.447,421,567,.743,,,805,408,,,,204,1881
1969-70 ★,35,LAL,NBA,SF,54,,2213,511,1051,.486,,,,511,1051,.486,276,357,.773,,,559,292,,,,132,1298
1970-71,36,LAL,NBA,SF,2,,57,8,19,.421,,,,8,19,.421,4,6,.667,,,11,2,,,,6,20
1971-72,37,LAL,NBA,SF,9,,239,42,97,.433,,,,42,97,.433,22,27,.815,,,57,18,,,,20,106
Career,,,NBA,,846,,33863,8693,20171,.431,,,,8693,20171,.431,5763,7391,.780,,,11463,3650,,,,2596,23149
