
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1961-62 ★,22,CHP,NBA,C,79,,3344,973,1875,.519,,,,973,1875,.519,549,853,.644,,,1500,210,,,,281,2495
1962-63 ★,23,CHZ,NBA,C,80,,3306,840,1595,.527,,,,840,1595,.527,553,821,.674,,,1309,233,,,,283,2233
1963-64 ★,24,BAL,NBA,C,80,,3394,811,1582,.513,,,,811,1582,.513,537,825,.651,,,1361,126,,,,300,2159
1964-65 ★,25,BAL,NBA,C,80,,3301,733,1441,.509,,,,733,1441,.509,515,752,.685,,,1166,191,,,,260,1981
1965-66,26,TOT,NBA,C,80,,3352,695,1373,.506,,,,695,1373,.506,430,689,.624,,,1254,235,,,,294,1820
1965-66,26,BAL,NBA,C,8,,268,56,124,.452,,,,56,124,.452,40,67,.597,,,102,18,,,,32,152
1965-66,26,NYK,NBA,C,72,,3084,639,1249,.512,,,,639,1249,.512,390,622,.627,,,1152,217,,,,262,1668
1966-67,27,NYK,NBA,C,79,,3010,565,1084,.521,,,,565,1084,.521,369,580,.636,,,1064,206,,,,275,1499
1967-68,28,NYK,NBA,C,82,,2695,511,944,.541,,,,511,944,.541,350,529,.662,,,961,164,,,,259,1372
1968-69,29,TOT,NBA,C,88,,3159,563,1103,.510,,,,563,1103,.510,401,618,.649,,,1101,176,,,,320,1527
1968-69,29,NYK,NBA,C,35,,1136,204,402,.507,,,,204,402,.507,125,202,.619,,,385,77,,,,123,533
1968-69,29,DET,NBA,C,53,,2023,359,701,.512,,,,359,701,.512,276,416,.663,,,716,99,,,,197,994
1969-70,30,TOT,NBA,C,79,,2028,351,671,.523,,,,351,671,.523,215,373,.576,,,707,143,,,,260,917
1969-70,30,DET,NBA,C,56,,1173,210,384,.547,,,,210,384,.547,140,249,.562,,,397,55,,,,163,560
1969-70,30,ATL,NBA,C,23,,855,141,287,.491,,,,141,287,.491,75,124,.605,,,310,88,,,,97,357
1970-71,31,ATL,NBA,C,82,,2908,433,879,.493,,,,433,879,.493,336,556,.604,,,1060,230,,,,271,1202
1971-72,32,ATL,NBA,C,82,,3187,593,1089,.545,,,,593,1089,.545,340,581,.585,,,1049,262,,,,255,1526
1972-73,33,ATL,NBA,C,74,,2802,455,901,.505,,,,455,901,.505,283,526,.538,,,964,179,,,,244,1193
1973-74,34,ATL,NBA,C,77,,2440,389,801,.486,,,,389,801,.486,233,383,.608,264,476,740,189,52,48,,232,1011
1974-75,35,NOJ,NBA,C,1,,14,2,2,1.000,,,,2,2,1.000,2,2,1.000,0,5,5,0,0,0,,2,6
Career,,,NBA,,1043,,38940,7914,15340,.516,,,,7914,15340,.516,5113,8088,.632,264,481,14241,2544,52,48,,3536,20941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,ATL,NBA,,338,,12192,2011,3957,.508,,,,2011,3957,.508,1267,2170,.584,264,476,4123,948,52,48,,1099,5289
5 seasons,,CHPCHZBAL,NBA,,327,,13613,3413,6617,.516,,,,3413,6617,.516,2194,3318,.661,,,5438,778,,,,1156,9020
4 seasons,,NYK,NBA,,268,,9925,1919,3679,.522,,,,1919,3679,.522,1234,1933,.638,,,3562,664,,,,919,5072
2 seasons,,DET,NBA,,109,,3196,569,1085,.524,,,,569,1085,.524,416,665,.626,,,1113,154,,,,360,1554
1 season,,NOJ,NBA,,1,,14,2,2,1.000,,,,2,2,1.000,2,2,1.000,0,5,5,0,0,0,,2,6
