
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80 ★,23,BOS,NBA,PF,82,82,2955,693,1463,.474,58,143,.406,635,1320,.481,301,360,.836,216,636,852,370,143,53,263,279,1745
1980-81 ★,24,BOS,NBA,PF,82,82,3239,719,1503,.478,20,74,.270,699,1429,.489,283,328,.863,191,704,895,451,161,63,289,239,1741
1981-82 ★,25,BOS,NBA,PF,77,58,2923,711,1414,.503,11,52,.212,700,1362,.514,328,380,.863,200,637,837,447,143,66,254,244,1761
1982-83 ★,26,BOS,NBA,PF,79,79,2982,747,1481,.504,22,77,.286,725,1404,.516,351,418,.840,193,677,870,458,148,71,240,197,1867
1983-84 ★,27,BOS,NBA,PF,79,77,3028,758,1542,.492,18,73,.247,740,1469,.504,374,421,.888,181,615,796,520,144,69,237,197,1908
1984-85 ★,28,BOS,NBA,SF,80,77,3161,918,1760,.522,56,131,.427,862,1629,.529,403,457,.882,164,678,842,531,129,98,248,208,2295
1985-86 ★,29,BOS,NBA,SF,82,81,3113,796,1606,.496,82,194,.423,714,1412,.506,441,492,.896,190,615,805,557,166,51,266,182,2115
1986-87 ★,30,BOS,NBA,SF,74,73,3005,786,1497,.525,90,225,.400,696,1272,.547,414,455,.910,124,558,682,566,135,70,240,185,2076
1987-88 ★,31,BOS,NBA,SF,76,75,2965,881,1672,.527,98,237,.414,783,1435,.546,415,453,.916,108,595,703,467,125,57,213,157,2275
1988-89,32,BOS,NBA,SF,6,6,189,49,104,.471,0,0,,49,104,.471,18,19,.947,1,36,37,29,6,5,11,18,116
1989-90 ★,33,BOS,NBA,SF,75,75,2944,718,1517,.473,65,195,.333,653,1322,.494,319,343,.930,90,622,712,562,106,61,243,173,1820
1990-91 ★,34,BOS,NBA,SF,60,60,2277,462,1017,.454,77,198,.389,385,819,.470,163,183,.891,53,456,509,431,108,58,187,118,1164
1991-92 ★,35,BOS,NBA,SF,45,45,1662,353,758,.466,52,128,.406,301,630,.478,150,162,.926,46,388,434,306,42,33,125,82,908
Career,,,NBA,,897,870,34443,8591,17334,.496,649,1727,.376,7942,15607,.509,3960,4471,.886,1757,7217,8974,5695,1556,755,2816,2279,21791
