
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1959-60 ★,23,PHW,NBA,C,72,,3338,1065,2311,.461,,,,1065,2311,.461,577,991,.582,,,1941,168,,,,150,2707
1960-61 ★,24,PHW,NBA,C,79,,3773,1251,2457,.509,,,,1251,2457,.509,531,1054,.504,,,2149,148,,,,130,3033
1961-62 ★,25,PHW,NBA,C,80,,3882,1597,3159,.506,,,,1597,3159,.506,835,1363,.613,,,2052,192,,,,123,4029
1962-63 ★,26,SFW,NBA,C,80,,3806,1463,2770,.528,,,,1463,2770,.528,660,1113,.593,,,1946,275,,,,136,3586
1963-64 ★,27,SFW,NBA,C,80,,3689,1204,2298,.524,,,,1204,2298,.524,540,1016,.531,,,1787,403,,,,182,2948
1964-65 ★,28,TOT,NBA,C,73,,3301,1063,2083,.510,,,,1063,2083,.510,408,880,.464,,,1673,250,,,,146,2534
1964-65 ★,28,SFW,NBA,C,38,,1743,636,1275,.499,,,,636,1275,.499,208,500,.416,,,893,117,,,,76,1480
1964-65 ★,28,PHI,NBA,C,35,,1558,427,808,.528,,,,427,808,.528,200,380,.526,,,780,133,,,,70,1054
1965-66 ★,29,PHI,NBA,C,79,,3737,1074,1990,.540,,,,1074,1990,.540,501,976,.513,,,1943,414,,,,171,2649
1966-67 ★,30,PHI,NBA,C,81,,3682,785,1150,.683,,,,785,1150,.683,386,875,.441,,,1957,630,,,,143,1956
1967-68 ★,31,PHI,NBA,C,82,,3836,819,1377,.595,,,,819,1377,.595,354,932,.380,,,1952,702,,,,160,1992
1968-69 ★,32,LAL,NBA,C,81,,3669,641,1099,.583,,,,641,1099,.583,382,857,.446,,,1712,366,,,,142,1664
1969-70,33,LAL,NBA,C,12,,505,129,227,.568,,,,129,227,.568,70,157,.446,,,221,49,,,,31,328
1970-71 ★,34,LAL,NBA,C,82,,3630,668,1226,.545,,,,668,1226,.545,360,669,.538,,,1493,352,,,,174,1696
1971-72 ★,35,LAL,NBA,C,82,,3469,496,764,.649,,,,496,764,.649,221,524,.422,,,1572,329,,,,196,1213
1972-73 ★,36,LAL,NBA,C,82,,3542,426,586,.727,,,,426,586,.727,232,455,.510,,,1526,365,,,,191,1084
Career,,,NBA,,1045,,47859,12681,23497,.540,,,,12681,23497,.540,6057,11862,.511,,,23924,4643,,,,2075,31419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,PHWSFW,NBA,,429,,20231,7216,14270,.506,,,,7216,14270,.506,3351,6037,.555,,,10768,1303,,,,797,17783
5 seasons,,LAL,NBA,,339,,14815,2360,3902,.605,,,,2360,3902,.605,1265,2662,.475,,,6524,1461,,,,734,5985
4 seasons,,PHI,NBA,,277,,12813,3105,5325,.583,,,,3105,5325,.583,1441,3163,.456,,,6632,1879,,,,544,7651
