
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1976-77,23,MIL,NBA,SF,60,,648,132,277,.477,,,,132,277,.477,46,60,.767,68,100,168,25,17,18,,78,310
1977-78,24,MIL,NBA,SF,82,,1552,343,633,.542,,,,343,633,.542,104,143,.727,144,251,395,129,41,55,137,178,790
1978-79,25,IND,NBA,SF,81,,2696,563,1102,.511,,,,563,1102,.511,173,230,.752,253,402,655,271,70,78,196,214,1299
1979-80,26,TOT,NBA,SF,78,,2401,553,1113,.497,2,6,.333,551,1107,.498,210,266,.789,269,336,605,224,73,62,214,206,1318
1979-80,26,IND,NBA,SF,54,,1526,346,686,.504,0,3,.000,346,683,.507,114,140,.814,167,213,380,142,45,33,124,128,806
1979-80,26,DEN,NBA,SF,24,,875,207,427,.485,2,3,.667,205,424,.483,96,126,.762,102,123,225,82,28,29,90,78,512
1980-81,27,DEN,NBA,SF,81,,3093,768,1555,.494,3,5,.600,765,1550,.494,390,459,.850,273,373,646,290,106,100,241,255,1929
1981-82 ★,28,DEN,NBA,SF,82,82,3015,855,1553,.551,0,8,.000,855,1545,.553,372,443,.840,210,348,558,433,87,120,261,261,2082
1982-83 ★,29,DEN,NBA,SF,82,82,2988,959,1857,.516,2,12,.167,957,1845,.519,406,490,.829,263,338,601,397,116,126,263,235,2326
1983-84 ★,30,DEN,NBA,SF,82,77,2870,907,1714,.529,1,7,.143,906,1707,.531,352,427,.824,216,248,464,406,83,95,222,252,2167
1984-85 ★,31,DEN,NBA,SF,81,81,2924,939,1812,.518,1,5,.200,938,1807,.519,383,462,.829,203,255,458,344,101,46,251,259,2262
1985-86 ★,32,DEN,NBA,SF,81,81,3024,951,1888,.504,1,5,.200,950,1883,.505,511,593,.862,192,213,405,320,73,29,249,235,2414
1986-87 ★,33,DEN,NBA,SF,82,82,3085,965,1920,.503,4,15,.267,961,1905,.504,411,487,.844,146,198,344,422,73,21,214,216,2345
1987-88 ★,34,DEN,NBA,SF,80,80,2818,843,1704,.495,0,6,.000,843,1698,.496,314,379,.828,166,207,373,377,70,23,181,193,2000
1988-89 ★,35,DEN,NBA,SF,82,82,2990,924,1881,.491,2,8,.250,922,1873,.492,325,379,.858,148,178,326,383,66,12,198,174,2175
1989-90,36,DEN,NBA,SF,80,80,2211,635,1293,.491,2,5,.400,633,1288,.491,161,183,.880,119,167,286,225,51,23,93,130,1433
1990-91,37,DAL,NBA,SF,79,26,1748,322,734,.439,0,1,.000,322,733,.439,119,140,.850,108,146,254,105,40,25,101,141,763
Career,,,NBA,,1193,753,38063,10659,21036,.507,18,83,.217,10641,20953,.508,4277,5141,.832,2778,3760,6538,4351,1067,833,2821,3027,25613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 seasons,,DEN,NBA,,837,727,29893,8953,17604,.509,18,79,.228,8935,17525,.510,3721,4428,.840,2038,2648,4686,3679,854,624,2263,2288,21645
2 seasons,,MIL,NBA,,142,,2200,475,910,.522,,,,475,910,.522,150,203,.739,212,351,563,154,58,73,137,256,1100
2 seasons,,IND,NBA,,135,,4222,909,1788,.508,0,3,.000,909,1785,.509,287,370,.776,420,615,1035,413,115,111,320,342,2105
1 season,,DAL,NBA,,79,26,1748,322,734,.439,0,1,.000,322,733,.439,119,140,.850,108,146,254,105,40,25,101,141,763
