
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72 ★,21,VIR,ABA,SF,84,,3513,910,1826,.498,3,16,.188,907,1810,.501,467,627,.745,476,843,1319,335,,,342,264,2290
1972-73 ★,22,VIR,ABA,SF,71,,2993,894,1804,.496,5,24,.208,889,1780,.499,475,612,.776,262,605,867,298,181,127,326,197,2268
1973-74 ★,23,NYA,ABA,SF,84,,3398,914,1785,.512,17,43,.395,897,1742,.515,454,593,.766,263,636,899,434,190,204,341,270,2299
1974-75 ★,24,NYA,ABA,SF,84,,3402,914,1806,.506,29,87,.333,885,1719,.515,486,608,.799,284,630,914,462,186,157,301,256,2343
1975-76 ★,25,NYA,ABA,SF,84,,3244,949,1873,.507,34,103,.330,915,1770,.517,530,662,.801,337,588,925,423,207,160,307,221,2462
1976-77 ★,26,PHI,NBA,SF,82,,2940,685,1373,.499,,,,685,1373,.499,400,515,.777,192,503,695,306,159,113,,251,1770
1977-78 ★,27,PHI,NBA,SF,74,,2429,611,1217,.502,,,,611,1217,.502,306,362,.845,179,302,481,279,135,97,238,207,1528
1978-79 ★,28,PHI,NBA,SF,78,,2802,715,1455,.491,,,,715,1455,.491,373,501,.745,198,366,564,357,133,100,315,207,1803
1979-80 ★,29,PHI,NBA,SF,78,,2812,838,1614,.519,4,20,.200,834,1594,.523,420,534,.787,215,361,576,355,170,140,284,208,2100
1980-81 ★,30,PHI,NBA,SF,82,,2874,794,1524,.521,4,18,.222,790,1506,.525,422,536,.787,244,413,657,364,173,147,266,233,2014
1981-82 ★,31,PHI,NBA,SF,81,81,2789,780,1428,.546,3,11,.273,777,1417,.548,411,539,.763,220,337,557,319,161,141,214,229,1974
1982-83 ★,32,PHI,NBA,SF,72,72,2421,605,1170,.517,2,7,.286,603,1163,.518,330,435,.759,173,318,491,263,112,131,196,202,1542
1983-84 ★,33,PHI,NBA,SF,77,77,2683,678,1324,.512,7,21,.333,671,1303,.515,364,483,.754,190,342,532,309,141,139,230,217,1727
1984-85 ★,34,PHI,NBA,SF,78,78,2535,610,1236,.494,3,14,.214,607,1222,.497,338,442,.765,172,242,414,233,135,109,208,199,1561
1985-86 ★,35,PHI,NBA,SF,74,74,2474,521,1085,.480,9,32,.281,512,1053,.486,289,368,.785,169,201,370,248,113,82,214,196,1340
1986-87 ★,36,PHI,NBA,SF,60,60,1918,400,850,.471,14,53,.264,386,797,.484,191,235,.813,115,149,264,191,76,94,158,137,1005
Career,,,TOT,,1243,442,45227,11818,23370,.506,134,449,.298,11684,22921,.510,6256,8052,.777,3689,6836,10525,5176,2272,1941,3940,3494,30026
,,,NBA,,836,442,28677,7237,14276,.507,46,176,.261,7191,14100,.510,3844,4950,.777,2067,3534,5601,3224,1508,1293,2323,2286,18364
,,,ABA,,407,,16550,4581,9094,.504,88,273,.322,4493,8821,.509,2412,3102,.778,1622,3302,4924,1952,764,648,1617,1208,11662
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 seasons,,PHI,NBA,,836,442,28677,7237,14276,.507,46,176,.261,7191,14100,.510,3844,4950,.777,2067,3534,5601,3224,1508,1293,2323,2286,18364
3 seasons,,NYA,ABA,,252,,10044,2777,5464,.508,80,233,.343,2697,5231,.516,1470,1863,.789,884,1854,2738,1319,583,521,949,747,7104
2 seasons,,VIR,ABA,,155,,6506,1804,3630,.497,8,40,.200,1796,3590,.500,942,1239,.760,738,1448,2186,633,181,127,668,461,4558
