
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86 ★,23,NYK,NBA,C,50,50,1771,386,814,.474,0,5,.000,386,809,.477,226,306,.739,124,327,451,102,54,103,172,191,998
1986-87,24,NYK,NBA,PF,63,63,2206,530,1053,.503,0,7,.000,530,1046,.507,296,415,.713,157,398,555,104,89,147,229,248,1356
1987-88 ★,25,NYK,NBA,C,82,82,2546,656,1183,.555,0,3,.000,656,1180,.556,341,476,.716,245,431,676,125,104,245,287,332,1653
1988-89 ★,26,NYK,NBA,C,80,80,2896,727,1282,.567,0,6,.000,727,1276,.570,361,484,.746,213,527,740,188,117,281,266,311,1815
1989-90 ★,27,NYK,NBA,C,82,82,3165,922,1673,.551,1,4,.250,921,1669,.552,502,648,.775,235,658,893,182,78,327,278,325,2347
1990-91 ★,28,NYK,NBA,C,81,81,3104,845,1645,.514,0,6,.000,845,1639,.516,464,623,.745,194,711,905,244,80,258,291,287,2154
1991-92 ★,29,NYK,NBA,C,82,82,3150,796,1525,.522,1,6,.167,795,1519,.523,377,511,.738,228,693,921,156,88,245,209,277,1970
1992-93 ★,30,NYK,NBA,C,81,81,3003,779,1550,.503,1,7,.143,778,1543,.504,400,556,.719,191,789,980,151,74,161,265,286,1959
1993-94 ★,31,NYK,NBA,C,79,79,2972,745,1503,.496,4,14,.286,741,1489,.498,445,582,.765,219,666,885,179,90,217,260,275,1939
1994-95 ★,32,NYK,NBA,C,79,79,2920,730,1452,.503,6,21,.286,724,1431,.506,420,560,.750,157,710,867,212,68,159,256,272,1886
1995-96 ★,33,NYK,NBA,C,76,76,2783,678,1456,.466,4,28,.143,674,1428,.472,351,461,.761,157,649,806,160,68,184,221,247,1711
1996-97 ★,34,NYK,NBA,C,78,78,2887,655,1342,.488,2,9,.222,653,1333,.490,439,582,.754,175,659,834,156,69,189,269,250,1751
1997-98,35,NYK,NBA,C,26,26,848,203,403,.504,0,2,.000,203,401,.506,134,186,.720,59,206,265,28,16,58,77,74,540
1998-99,36,NYK,NBA,C,38,38,1300,247,568,.435,0,2,.000,247,566,.436,163,231,.706,74,303,377,43,30,100,99,105,657
1999-00,37,NYK,NBA,C,62,62,2035,361,775,.466,0,2,.000,361,773,.467,207,283,.731,140,464,604,58,36,84,142,196,929
2000-01,38,SEA,NBA,C,79,79,2107,294,684,.430,0,2,.000,294,682,.431,172,251,.685,124,461,585,92,53,91,151,229,760
2001-02,39,ORL,NBA,C,65,4,901,148,333,.444,0,1,.000,148,332,.446,94,134,.701,60,203,263,35,22,45,65,129,390
Career,,,NBA,,1183,1122,40594,9702,19241,.504,19,125,.152,9683,19116,.507,5392,7289,.740,2752,8855,11607,2215,1136,2894,3537,4034,24815
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 seasons,,NYK,NBA,,1039,1039,37586,9260,18224,.508,19,122,.156,9241,18102,.510,5126,6904,.742,2568,8191,10759,2088,1061,2758,3321,3676,23665
1 season,,SEA,NBA,,79,79,2107,294,684,.430,0,2,.000,294,682,.431,172,251,.685,124,461,585,92,53,91,151,229,760
1 season,,ORL,NBA,,65,4,901,148,333,.444,0,1,.000,148,332,.446,94,134,.701,60,203,263,35,22,45,65,129,390
