
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,19,MIN,NBA,SF,80,43,2293,361,735,.491,8,28,.286,353,707,.499,105,149,.705,175,326,501,145,86,131,110,189,835
1996-97 ★,20,MIN,NBA,SF,77,77,2995,549,1100,.499,6,21,.286,543,1079,.503,205,272,.754,190,428,618,236,105,163,175,199,1309
1997-98 ★,21,MIN,NBA,PF,82,82,3222,635,1293,.491,3,16,.188,632,1277,.495,245,332,.738,222,564,786,348,139,150,192,224,1518
1998-99,22,MIN,NBA,PF,47,47,1780,414,900,.460,4,14,.286,410,886,.463,145,206,.704,166,323,489,202,78,83,135,152,977
1999-00 ★,23,MIN,NBA,PF,81,81,3243,759,1526,.497,30,81,.370,729,1445,.504,309,404,.765,223,733,956,401,120,126,268,205,1857
2000-01 ★,24,MIN,NBA,PF,81,81,3202,704,1475,.477,19,66,.288,685,1409,.486,357,467,.764,219,702,921,401,111,145,230,204,1784
2001-02 ★,25,MIN,NBA,PF,81,81,3175,659,1401,.470,37,116,.319,622,1285,.484,359,448,.801,243,738,981,422,96,126,229,184,1714
2002-03 ★,26,MIN,NBA,PF,82,82,3321,743,1481,.502,20,71,.282,723,1410,.513,377,502,.751,244,858,1102,495,113,129,229,199,1883
2003-04 ★,27,MIN,NBA,PF,82,82,3231,804,1611,.499,11,43,.256,793,1568,.506,368,465,.791,245,894,1139,409,120,178,212,202,1987
2004-05 ★,28,MIN,NBA,PF,82,82,3121,683,1360,.502,6,25,.240,677,1335,.507,445,549,.811,247,861,1108,466,121,112,222,207,1817
2005-06 ★,29,MIN,NBA,PF,76,76,2957,626,1191,.526,8,30,.267,618,1161,.532,396,489,.810,214,752,966,308,104,107,180,206,1656
2006-07 ★,30,MIN,NBA,PF,76,76,2995,638,1341,.476,12,56,.214,626,1285,.487,416,498,.835,183,792,975,313,89,126,205,184,1704
2007-08 ★,31,BOS,NBA,PF,71,71,2328,534,990,.539,0,11,.000,534,979,.545,269,336,.801,135,520,655,244,100,89,138,163,1337
2008-09 ★,32,BOS,NBA,PF,57,57,1772,393,740,.531,2,8,.250,391,732,.534,111,132,.841,78,407,485,144,63,68,90,128,899
2009-10 ★,33,BOS,NBA,PF,69,69,2060,402,772,.521,1,5,.200,401,767,.523,185,221,.837,78,428,506,185,68,57,101,170,990
2010-11 ★,34,BOS,NBA,PF,71,71,2220,434,822,.528,1,5,.200,433,817,.530,187,217,.862,83,548,631,171,95,57,115,148,1056
2011-12,35,BOS,NBA,C,60,60,1864,391,777,.503,3,9,.333,388,768,.505,162,189,.857,66,428,494,175,56,61,107,141,947
2012-13 ★,36,BOS,NBA,C,68,68,2022,422,850,.496,2,16,.125,420,834,.504,158,201,.786,75,455,530,159,78,62,110,154,1004
2013-14,37,BRK,NBA,C,54,54,1109,157,356,.441,0,3,.000,157,353,.445,38,47,.809,60,298,358,82,43,40,69,123,352
Career,,,NBA,,1377,1340,48910,10308,20721,.497,173,624,.277,10135,20097,.504,4837,6124,.790,3146,11055,14201,5306,1785,2010,3117,3382,25626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 seasons,,MIN,NBA,,927,890,35535,7575,15414,.491,164,567,.289,7411,14847,.499,3727,4781,.780,2571,7971,10542,4146,1282,1576,2387,2355,19041
6 seasons,,BOS,NBA,,396,396,12266,2576,4951,.520,9,54,.167,2567,4897,.524,1072,1296,.827,515,2786,3301,1078,460,394,661,904,6233
1 season,,BRK,NBA,,54,54,1109,157,356,.441,0,3,.000,157,353,.445,38,47,.809,60,298,358,82,43,40,69,123,352
