
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1958-59,22,SYR,NBA,SG,68,,1625,308,679,.454,,,,308,679,.454,137,176,.778,,,196,101,,,,189,753
1959-60,23,SYR,NBA,SG,70,,1979,388,815,.476,,,,388,815,.476,148,189,.783,,,303,188,,,,208,924
1960-61 ★,24,SYR,NBA,SG,79,,2763,623,1381,.451,,,,623,1381,.451,305,394,.774,,,455,302,,,,242,1551
1961-62 ★,25,SYR,NBA,SG,71,,2705,644,1442,.447,,,,644,1442,.447,331,404,.819,,,524,313,,,,252,1619
1962-63 ★,26,SYR,NBA,SG,80,,2631,600,1293,.464,,,,600,1293,.464,362,434,.834,,,457,275,,,,286,1562
1963-64 ★,27,PHI,NBA,SG,80,,3157,715,1611,.444,,,,715,1611,.444,435,525,.829,,,484,374,,,,291,1865
1964-65 ★,28,PHI,NBA,SG,70,,2600,539,1245,.433,,,,539,1245,.433,335,413,.811,,,355,313,,,,254,1413
1965-66 ★,29,PHI,NBA,SG,80,,3326,703,1580,.445,,,,703,1580,.445,413,514,.804,,,473,384,,,,315,1819
1966-67 ★,30,PHI,NBA,SG,80,,3086,699,1524,.459,,,,699,1524,.459,367,466,.788,,,422,303,,,,302,1765
1967-68 ★,31,PHI,NBA,SG,82,,3263,777,1626,.478,,,,777,1626,.478,422,549,.769,,,444,372,,,,289,1976
1968-69 ★,32,PHI,NBA,SG,82,,3311,732,1595,.459,,,,732,1595,.459,432,543,.796,,,435,414,,,,294,1896
1969-70 ★,33,PHI,NBA,SG,80,,3024,705,1551,.455,,,,705,1551,.455,352,432,.815,,,376,405,,,,300,1762
1970-71,34,PHI,NBA,SG,81,,3060,591,1371,.431,,,,591,1371,.431,326,405,.805,,,364,369,,,,289,1508
1971-72,35,PHI,NBA,PG,81,,2410,389,866,.449,,,,389,866,.449,181,234,.774,,,271,316,,,,268,959
1972-73,36,PHI,NBA,PG,38,,848,91,232,.392,,,,91,232,.392,32,39,.821,,,106,111,,,,76,214
Career,,,NBA,,1122,,39788,8504,18811,.452,,,,8504,18811,.452,4578,5717,.801,,,5665,4540,,,,3855,21586
