
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1962-63,22,BOS,NBA,SF,80,,2200,483,1085,.445,,,,483,1085,.445,174,239,.728,,,534,179,,,,189,1140
1963-64,23,BOS,NBA,SF,80,,2587,640,1535,.417,,,,640,1535,.417,315,422,.746,,,428,238,,,,227,1595
1964-65,24,BOS,NBA,SG,75,,2169,570,1420,.401,,,,570,1420,.401,235,316,.744,,,371,199,,,,200,1375
1965-66 ★,25,BOS,NBA,SF,71,,2175,530,1328,.399,,,,530,1328,.399,274,349,.785,,,423,210,,,,158,1334
1966-67 ★,26,BOS,NBA,SF,81,,2602,684,1540,.444,,,,684,1540,.444,365,441,.828,,,532,278,,,,210,1733
1967-68 ★,27,BOS,NBA,SG,82,,2921,666,1551,.429,,,,666,1551,.429,368,453,.812,,,546,384,,,,237,1700
1968-69 ★,28,BOS,NBA,SG,82,,3174,692,1709,.405,,,,692,1709,.405,387,496,.780,,,570,441,,,,247,1771
1969-70 ★,29,BOS,NBA,SG,81,,3369,736,1585,.464,,,,736,1585,.464,488,578,.844,,,635,550,,,,211,1960
1970-71 ★,30,BOS,NBA,SF,81,,3678,892,1982,.450,,,,892,1982,.450,554,677,.818,,,730,607,,,,200,2338
1971-72 ★,31,BOS,NBA,SF,82,,3698,897,1957,.458,,,,897,1957,.458,458,549,.834,,,672,614,,,,183,2252
1972-73 ★,32,BOS,NBA,SF,80,,3367,766,1704,.450,,,,766,1704,.450,370,431,.858,,,567,529,,,,195,1902
1973-74 ★,33,BOS,NBA,SF,76,,3091,685,1502,.456,,,,685,1502,.456,346,416,.832,138,349,487,447,95,32,,196,1716
1974-75 ★,34,BOS,NBA,SF,82,,3132,642,1411,.455,,,,642,1411,.455,289,332,.870,154,330,484,432,110,16,,231,1573
1975-76 ★,35,BOS,NBA,SF,76,,2598,504,1121,.450,,,,504,1121,.450,281,333,.844,116,198,314,278,97,29,,204,1289
1976-77 ★,36,BOS,NBA,SF,79,,2913,580,1283,.452,,,,580,1283,.452,235,288,.816,109,273,382,400,84,18,,208,1395
1977-78 ★,37,BOS,NBA,SF,82,,2797,546,1217,.449,,,,546,1217,.449,230,269,.855,93,239,332,328,90,22,204,185,1322
Career,,,NBA,,1270,,46471,10513,23930,.439,,,,10513,23930,.439,5369,6589,.815,610,1389,8007,6114,476,117,204,3281,26395
