
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71 ★,22,KEN,ABA,C,83,,3274,938,1934,.485,0,15,.000,938,1919,.489,604,748,.807,421,672,1093,162,,,221,323,2480
1971-72 ★,23,KEN,ABA,PF,83,,3570,972,2001,.486,3,11,.273,969,1990,.487,591,753,.785,353,578,931,195,,,244,242,2538
1972-73 ★,24,KEN,ABA,PF,84,,3531,902,1757,.513,3,15,.200,899,1742,.516,485,635,.764,329,593,922,220,,,216,255,2292
1973-74 ★,25,KEN,ABA,PF,83,,3347,829,1726,.480,3,17,.176,826,1709,.483,457,581,.787,346,501,847,137,69,32,171,199,2118
1974-75 ★,26,KEN,ABA,PF,83,,2864,614,1303,.471,0,5,.000,614,1298,.473,237,321,.738,258,452,710,188,76,48,157,197,1465
1975-76 ★,27,DNA,ABA,C,84,,2856,752,1472,.511,1,4,.250,751,1468,.512,425,521,.816,303,620,923,201,100,56,200,266,1930
1976-77 ★,28,DEN,NBA,C,79,,2507,660,1282,.515,,,,660,1282,.515,445,558,.797,211,485,696,177,91,29,,246,1765
1977-78,29,DEN,NBA,C,82,,2851,659,1287,.512,,,,659,1287,.512,428,547,.782,253,577,830,304,100,41,259,279,1746
1978-79,30,DEN,NBA,C,81,,2742,532,1030,.517,,,,532,1030,.517,316,419,.754,240,498,738,255,61,46,171,233,1380
1979-80,31,DEN,NBA,C,82,,2938,715,1416,.505,4,12,.333,711,1404,.506,517,667,.775,236,483,719,198,88,54,163,190,1951
1980-81,32,DEN,NBA,C,80,,2641,614,1220,.503,2,12,.167,612,1208,.507,519,684,.759,229,447,676,158,83,53,130,249,1749
1981-82,33,DEN,NBA,C,81,81,2472,651,1236,.527,4,6,.667,647,1230,.526,546,655,.834,174,434,608,179,67,55,169,245,1852
1982-83,34,DEN,NBA,C,80,80,2431,661,1296,.510,4,19,.211,657,1277,.514,400,479,.835,151,445,596,223,83,43,174,227,1726
1983-84,35,DEN,NBA,C,76,66,2076,569,1153,.493,4,19,.211,565,1134,.498,364,428,.850,112,401,513,173,60,44,122,182,1506
1984-85,36,DEN,NBA,C,77,9,1684,363,791,.459,1,7,.143,362,784,.462,257,319,.806,80,251,331,137,65,31,93,171,984
Career,,,TOT,,1218,236,41784,10431,20904,.499,29,142,.204,10402,20762,.501,6591,8315,.793,3696,7437,11133,2907,943,532,2490,3504,27482
,,,NBA,,718,236,22342,5424,10711,.506,19,75,.253,5405,10636,.508,3792,4756,.797,1686,4021,5707,1804,698,396,1281,2022,14659
,,,ABA,,500,,19442,5007,10193,.491,10,67,.149,4997,10126,.493,2799,3559,.786,2010,3416,5426,1103,245,136,1209,1482,12823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,DNADEN,NBA,,802,236,25198,6176,12183,.507,20,79,.253,6156,12104,.509,4217,5277,.799,1989,4641,6630,2005,798,452,1481,2288,16589
5 seasons,,KEN,ABA,,416,,16586,4255,8721,.488,9,63,.143,4246,8658,.490,2374,3038,.781,1707,2796,4503,902,145,80,1009,1216,10893
