
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,22,GSW,NBA,SF,47,24,1058,178,394,.452,3,10,.300,175,384,.456,90,153,.588,131,170,301,34,38,16,68,102,449
1999-00,23,GSW,NBA,SF,43,41,1556,356,756,.471,2,7,.286,354,749,.473,127,208,.611,172,187,359,90,30,15,113,115,841
2000-01,24,GSW,NBA,SF,82,82,3394,800,1812,.442,62,205,.302,738,1607,.459,382,534,.715,280,435,715,164,114,28,199,225,2044
2001-02,25,GSW,NBA,SF,82,82,3033,614,1375,.447,68,210,.324,546,1165,.469,323,440,.734,211,345,556,161,70,45,161,187,1619
2002-03,26,GSW,NBA,SF,82,82,3226,691,1471,.470,65,209,.311,626,1262,.496,375,475,.789,195,383,578,156,76,45,177,197,1822
2003-04,27,DAL,NBA,SF,82,2,2376,488,913,.535,16,40,.400,472,873,.541,220,294,.748,233,287,520,70,83,30,81,174,1212
2004-05 ★,28,WAS,NBA,PF,68,68,2605,519,1189,.437,71,208,.341,448,981,.457,225,296,.760,160,359,519,154,55,16,118,151,1334
2005-06,29,WAS,NBA,SF,82,80,3288,660,1494,.442,147,373,.394,513,1121,.458,217,297,.731,167,598,765,158,90,12,137,189,1684
2006-07,30,WAS,NBA,PF,70,70,2662,512,1139,.450,138,379,.364,374,760,.492,226,307,.736,134,428,562,136,80,36,104,194,1388
2007-08 ★,31,WAS,NBA,PF,79,79,3061,618,1417,.436,120,354,.339,498,1063,.468,333,438,.760,215,591,806,120,106,34,113,195,1689
2008-09,32,WAS,NBA,PF,81,81,3096,674,1441,.468,112,319,.351,562,1122,.501,341,452,.754,196,525,721,153,95,25,125,218,1801
2009-10,33,TOT,NBA,PF,66,64,2406,478,1036,.461,85,247,.344,393,789,.498,194,300,.647,136,419,555,84,71,21,91,179,1235
2009-10,33,WAS,NBA,PF,41,41,1595,315,700,.450,58,168,.345,257,532,.483,152,217,.700,99,263,362,52,43,9,61,112,840
2009-10,33,CLE,NBA,PF,25,23,811,163,336,.485,27,79,.342,136,257,.529,42,83,.506,37,156,193,32,28,12,30,67,395
2010-11,34,CLE,NBA,PF,56,38,1842,374,876,.427,91,263,.346,283,613,.462,171,234,.731,86,289,375,93,50,30,77,137,1010
2011-12,35,CLE,NBA,PF,65,65,2151,421,1044,.403,91,267,.341,330,777,.425,185,271,.683,123,285,408,131,51,43,90,164,1118
2012-13,36,LAL,NBA,PF,76,6,1636,267,575,.464,84,233,.361,183,342,.535,94,136,.691,109,253,362,50,30,22,53,124,712
2013-14,37,LAC,NBA,PF,22,0,248,29,92,.315,8,41,.195,21,51,.412,18,25,.720,9,46,55,7,9,3,7,29,84
Career,,,NBA,,1083,864,37638,7679,17024,.451,1163,3365,.346,6516,13659,.477,3521,4860,.724,2557,5600,8157,1761,1048,421,1714,2580,20042
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,WAS,NBA,,421,419,16307,3298,7380,.447,646,1801,.359,2652,5579,.475,1494,2007,.744,971,2764,3735,773,469,132,658,1059,8736
5 seasons,,GSW,NBA,,336,311,12267,2639,5808,.454,200,641,.312,2439,5167,.472,1297,1810,.717,989,1520,2509,605,328,149,718,826,6775
3 seasons,,CLE,NBA,,146,126,4804,958,2256,.425,209,609,.343,749,1647,.455,398,588,.677,246,730,976,256,129,85,197,368,2523
1 season,,DAL,NBA,,82,2,2376,488,913,.535,16,40,.400,472,873,.541,220,294,.748,233,287,520,70,83,30,81,174,1212
1 season,,LAL,NBA,,76,6,1636,267,575,.464,84,233,.361,183,342,.535,94,136,.691,109,253,362,50,30,22,53,124,712
1 season,,LAC,NBA,,22,0,248,29,92,.315,8,41,.195,21,51,.412,18,25,.720,9,46,55,7,9,3,7,29,84
