
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1977-78,21,NJN,NBA,SF,79,,3092,798,1665,.479,,,,798,1665,.479,313,462,.677,265,486,751,193,122,36,311,302,1909
1978-79,22,NJN,NBA,SF,82,,2859,710,1359,.522,,,,710,1359,.522,349,619,.564,251,418,669,295,118,39,323,326,1769
1979-80,23,UTA,NBA,SF,19,,419,71,137,.518,0,0,,71,137,.518,34,63,.540,24,64,88,52,7,4,50,66,176
1980-81,24,GSW,NBA,SF,81,,2914,731,1244,.588,2,6,.333,729,1238,.589,307,437,.703,178,373,551,287,72,34,265,304,1771
1981-82 ★,25,GSW,NBA,SF,79,77,2861,740,1307,.566,1,5,.200,739,1302,.568,352,499,.705,140,329,469,282,78,23,267,285,1833
1982-83,26,NYK,NBA,SF,68,68,2207,603,1142,.528,0,6,.000,603,1136,.531,280,388,.722,99,227,326,195,90,13,197,233,1486
1983-84 ★,27,NYK,NBA,SF,77,76,2667,795,1391,.572,0,4,.000,795,1387,.573,437,561,.779,123,271,394,164,75,17,197,273,2027
1984-85 ★,28,NYK,NBA,SF,55,55,2063,691,1303,.530,1,10,.100,690,1293,.534,426,552,.772,114,203,317,204,71,15,204,191,1809
1985-86,29,Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee)
1986-87,30,NYK,NBA,SF,6,4,214,52,105,.495,0,0,,52,105,.495,32,43,.744,13,19,32,19,2,0,15,14,136
1987-88,31,WSB,NBA,SF,69,38,2044,470,938,.501,1,6,.167,469,932,.503,247,324,.762,86,194,280,192,49,10,211,202,1188
1988-89,32,WSB,NBA,SF,81,81,2559,654,1371,.477,5,30,.167,649,1341,.484,361,441,.819,133,251,384,294,64,13,227,219,1674
1989-90,33,WSB,NBA,SF,82,82,2687,711,1459,.487,3,23,.130,708,1436,.493,412,513,.803,129,275,404,376,51,7,248,230,1837
1990-91 ★,34,WSB,NBA,SF,64,64,2401,713,1511,.472,8,37,.216,705,1474,.478,383,485,.790,114,205,319,292,56,16,255,187,1817
1991-92,35,Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury),Did Not Play (injury)
1992-93,36,NJN,NBA,SF,32,2,430,91,177,.514,2,7,.286,89,170,.524,39,57,.684,35,41,76,18,11,3,21,53,223
Career,,,NBA,,874,547,29417,7830,15109,.518,23,134,.172,7807,14975,.521,3972,5444,.730,1704,3356,5060,2863,866,230,2791,2885,19655
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WSB,NBA,,296,265,9691,2548,5279,.483,17,96,.177,2531,5183,.488,1403,1763,.796,462,925,1387,1154,220,46,941,838,6516
4 seasons,,NYK,NBA,,206,203,7151,2141,3941,.543,1,20,.050,2140,3921,.546,1175,1544,.761,349,720,1069,582,238,45,613,711,5458
3 seasons,,NJN,NBA,,193,2,6381,1599,3201,.500,2,7,.286,1597,3194,.500,701,1138,.616,551,945,1496,506,251,78,655,681,3901
2 seasons,,GSW,NBA,,160,77,5775,1471,2551,.577,3,11,.273,1468,2540,.578,659,936,.704,318,702,1020,569,150,57,532,589,3604
1 season,,UTA,NBA,,19,,419,71,137,.518,0,0,,71,137,.518,34,63,.540,24,64,88,52,7,4,50,66,176
