
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,DET,NBA,C,82,,2017,504,1108,.455,,,,504,1108,.455,273,376,.726,,,665,146,,,,272,1281
1971-72 ★,23,DET,NBA,C,80,,3092,834,1690,.493,,,,834,1690,.493,388,505,.768,,,1132,248,,,,297,2056
1972-73 ★,24,DET,NBA,C,81,,3150,810,1654,.490,,,,810,1654,.490,307,397,.773,,,1205,260,,,,278,1927
1973-74 ★,25,DET,NBA,C,81,,3047,748,1483,.504,,,,748,1483,.504,326,409,.797,269,805,1074,343,110,247,,273,1822
1974-75 ★,26,DET,NBA,C,76,,2987,731,1433,.510,,,,731,1433,.510,361,450,.802,225,689,914,350,75,172,,237,1823
1975-76,27,DET,NBA,C,64,,2363,541,1017,.532,,,,541,1017,.532,284,370,.768,217,529,746,217,79,86,,203,1366
1976-77 ★,28,DET,NBA,C,64,,2446,678,1269,.534,,,,678,1269,.534,260,318,.818,200,545,745,214,70,126,,174,1616
1977-78 ★,29,DET,NBA,C,63,,2311,622,1159,.537,,,,622,1159,.537,298,386,.772,197,518,715,216,82,93,225,185,1542
1978-79 ★,30,DET,NBA,C,53,,1835,489,950,.515,,,,489,950,.515,275,367,.749,164,330,494,140,50,75,175,181,1253
1979-80,31,TOT,NBA,C,63,,2131,466,867,.537,1,6,.167,465,861,.540,277,354,.782,152,400,552,184,74,89,162,200,1210
1979-80,31,DET,NBA,C,37,,1392,319,584,.546,0,5,.000,319,579,.551,164,210,.781,108,265,373,122,38,60,113,130,802
1979-80,31,MIL,NBA,C,26,,739,147,283,.519,1,1,1.000,146,282,.518,113,144,.785,44,135,179,62,36,29,49,70,408
1980-81,32,MIL,NBA,C,67,,1753,376,716,.525,1,1,1.000,375,715,.524,208,277,.751,128,285,413,179,73,81,139,184,961
1981-82 ★,33,MIL,NBA,C,74,72,1986,407,729,.558,0,2,.000,407,727,.560,182,242,.752,92,296,388,219,72,56,166,211,996
1982-83,34,MIL,NBA,C,39,35,978,163,332,.491,0,1,.000,163,331,.492,91,133,.684,58,142,200,105,34,24,82,125,417
1983-84,35,MIL,NBA,C,72,72,2007,392,685,.572,0,3,.000,392,682,.575,194,274,.708,141,314,455,186,58,51,163,228,978
Career,,,NBA,,959,179,32103,7761,15092,.514,2,13,.154,7759,15079,.515,3724,4858,.767,1843,4853,9698,3007,777,1100,1112,3048,19248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,DET,NBA,,681,,24640,6276,12347,.508,0,5,.000,6276,12342,.509,2936,3788,.775,1380,3681,8063,2256,504,859,513,2230,15488
5 seasons,,MIL,NBA,,278,179,7463,1485,2745,.541,2,8,.250,1483,2737,.542,788,1070,.736,463,1172,1635,751,273,241,599,818,3760
