
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,22,UTA,NBA,PF,81,76,2475,504,1016,.496,0,2,.000,504,1014,.497,195,405,.481,174,544,718,236,105,44,279,295,1203
1986-87,23,UTA,NBA,PF,82,82,2857,728,1422,.512,0,7,.000,728,1415,.514,323,540,.598,278,577,855,158,104,60,237,323,1779
1987-88 ★,24,UTA,NBA,PF,82,82,3198,858,1650,.520,0,5,.000,858,1645,.522,552,789,.700,277,709,986,199,117,50,325,296,2268
1988-89 ★,25,UTA,NBA,PF,80,80,3126,809,1559,.519,5,16,.313,804,1543,.521,703,918,.766,259,594,853,219,144,70,285,286,2326
1989-90 ★,26,UTA,NBA,PF,82,82,3122,914,1627,.562,16,43,.372,898,1584,.567,696,913,.762,232,679,911,226,121,50,304,259,2540
1990-91 ★,27,UTA,NBA,PF,82,82,3302,847,1608,.527,4,14,.286,843,1594,.529,684,888,.770,236,731,967,270,89,79,244,268,2382
1991-92 ★,28,UTA,NBA,PF,81,81,3054,798,1516,.526,3,17,.176,795,1499,.530,673,865,.778,225,684,909,241,108,51,248,226,2272
1992-93 ★,29,UTA,NBA,PF,82,82,3099,797,1443,.552,4,20,.200,793,1423,.557,619,836,.740,227,692,919,308,124,85,240,261,2217
1993-94 ★,30,UTA,NBA,PF,82,82,3329,772,1552,.497,8,32,.250,764,1520,.503,511,736,.694,235,705,940,328,125,126,234,268,2063
1994-95 ★,31,UTA,NBA,PF,82,82,3126,830,1548,.536,11,41,.268,819,1507,.543,516,695,.742,156,715,871,285,129,85,236,269,2187
1995-96 ★,32,UTA,NBA,PF,82,82,3113,789,1520,.519,16,40,.400,773,1480,.522,512,708,.723,175,629,804,345,138,56,199,245,2106
1996-97 ★,33,UTA,NBA,PF,82,82,2998,864,1571,.550,0,13,.000,864,1558,.555,521,690,.755,193,616,809,368,113,48,233,217,2249
1997-98 ★,34,UTA,NBA,PF,81,81,3030,780,1472,.530,2,6,.333,778,1466,.531,628,825,.761,189,645,834,316,96,70,247,237,2190
1998-99,35,UTA,NBA,PF,49,49,1832,393,797,.493,0,1,.000,393,796,.494,378,480,.788,107,356,463,201,62,28,162,134,1164
1999-00 ★,36,UTA,NBA,PF,82,82,2947,752,1476,.509,2,8,.250,750,1468,.511,589,739,.797,169,610,779,304,79,71,231,229,2095
2000-01 ★,37,UTA,NBA,PF,81,81,2895,670,1345,.498,2,5,.400,668,1340,.499,536,676,.793,114,555,669,361,93,62,244,216,1878
2001-02 ★,38,UTA,NBA,PF,80,80,3040,635,1399,.454,9,25,.360,626,1374,.456,509,639,.797,142,544,686,341,152,59,263,229,1788
2002-03,39,UTA,NBA,PF,81,81,2936,595,1289,.462,3,14,.214,592,1275,.464,474,621,.763,113,515,628,379,136,31,210,204,1667
2003-04,40,LAL,NBA,PF,42,42,1373,193,400,.483,0,1,.000,193,399,.484,168,225,.747,61,306,367,163,50,20,103,116,554
Career,,,NBA,,1476,1471,54852,13528,26210,.516,85,310,.274,13443,25900,.519,9787,13188,.742,3562,11406,14968,5248,2085,1145,4524,4578,36928
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 seasons,,UTA,NBA,,1434,1429,53479,13335,25810,.517,85,309,.275,13250,25501,.520,9619,12963,.742,3501,11100,14601,5085,2035,1125,4421,4462,36374
1 season,,LAL,NBA,,42,42,1373,193,400,.483,0,1,.000,193,399,.484,168,225,.747,61,306,367,163,50,20,103,116,554
