
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75 ★,19,UTS,ABA,C,83,,3205,591,1035,.571,0,1,.000,591,1034,.572,375,591,.635,455,754,1209,82,85,128,320,288,1557
1975-76,20,SSL,ABA,PF,43,,1168,251,490,.512,0,2,.000,251,488,.514,112,183,.612,196,217,413,58,25,28,140,113,614
1976-77,21,TOT,NBA,C,82,,2506,389,810,.480,,,,389,810,.480,305,440,.693,437,635,1072,89,67,181,,275,1083
1976-77,21,BUF,NBA,C,2,,6,0,0,,,,,0,0,,0,0,,0,1,1,0,0,0,,1,0
1976-77,21,HOU,NBA,C,80,,2500,389,810,.480,,,,389,810,.480,305,440,.693,437,634,1071,89,67,181,,274,1083
1977-78 ★,22,HOU,NBA,C,59,,2107,413,828,.499,,,,413,828,.499,318,443,.718,380,506,886,31,48,76,220,179,1144
1978-79 ★,23,HOU,NBA,C,82,,3390,716,1325,.540,,,,716,1325,.540,599,811,.739,587,857,1444,147,79,119,326,223,2031
1979-80 ★,24,HOU,NBA,C,82,,3140,778,1549,.502,0,6,.000,778,1543,.504,563,783,.719,573,617,1190,147,80,107,300,210,2119
1980-81 ★,25,HOU,NBA,C,80,,3245,806,1545,.522,1,3,.333,805,1542,.522,609,804,.757,474,706,1180,141,83,150,308,223,2222
1981-82 ★,26,HOU,NBA,C,81,81,3398,945,1822,.519,0,6,.000,945,1816,.520,630,827,.762,558,630,1188,142,76,125,294,208,2520
1982-83 ★,27,PHI,NBA,C,78,78,2922,654,1305,.501,0,1,.000,654,1304,.502,600,788,.761,445,749,1194,101,89,157,264,206,1908
1983-84 ★,28,PHI,NBA,C,71,71,2613,532,1101,.483,0,4,.000,532,1097,.485,545,727,.750,352,598,950,96,71,110,250,188,1609
1984-85 ★,29,PHI,NBA,C,79,79,2957,602,1284,.469,0,2,.000,602,1282,.470,737,904,.815,385,646,1031,130,67,123,286,216,1941
1985-86 ★,30,PHI,NBA,C,74,74,2706,571,1246,.458,0,1,.000,571,1245,.459,617,784,.787,339,533,872,90,67,71,261,194,1759
1986-87 ★,31,WSB,NBA,C,73,70,2488,595,1311,.454,0,11,.000,595,1300,.458,570,692,.824,340,484,824,120,59,92,202,139,1760
1987-88 ★,32,WSB,NBA,C,79,78,2692,531,1090,.487,2,7,.286,529,1083,.488,543,689,.788,372,512,884,112,59,72,249,160,1607
1988-89 ★,33,ATL,NBA,C,81,80,2878,538,1096,.491,0,12,.000,538,1084,.496,561,711,.789,386,570,956,112,79,100,245,154,1637
1989-90,34,ATL,NBA,C,81,81,2735,517,1077,.480,1,9,.111,516,1068,.483,493,631,.781,364,448,812,130,47,84,232,158,1528
1990-91,35,ATL,NBA,C,82,15,1912,280,598,.468,0,7,.000,280,591,.474,309,372,.831,271,396,667,68,30,74,137,134,869
1991-92,36,MIL,NBA,C,82,77,2511,440,929,.474,3,8,.375,437,921,.474,396,504,.786,320,424,744,93,74,64,150,136,1279
1992-93,37,MIL,NBA,C,11,0,104,13,42,.310,0,0,,13,42,.310,24,31,.774,22,24,46,7,1,8,10,6,50
1993-94,38,PHI,NBA,C,55,0,618,102,232,.440,0,1,.000,102,231,.442,90,117,.769,106,120,226,34,11,17,59,52,294
1994-95,39,SAS,NBA,C,17,0,149,13,35,.371,1,2,.500,12,33,.364,22,32,.688,20,26,46,6,2,3,11,15,49
Career,,,TOT,,1455,784,49444,10277,20750,.495,8,83,.096,10269,20667,.497,9018,11864,.760,7382,10452,17834,1936,1199,1889,4264,3477,29580
,,,NBA,,1329,784,45071,9435,19225,.491,8,80,.100,9427,19145,.492,8531,11090,.769,6731,9481,16212,1796,1089,1733,3804,3076,27409
,,,ABA,,126,,4373,842,1525,.552,0,3,.000,842,1522,.553,487,774,.629,651,971,1622,140,110,156,460,401,2171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,HOU,NBA,,464,81,17780,4047,7879,.514,1,15,.067,4046,7864,.514,3024,4108,.736,3009,3950,6959,697,433,758,1448,1317,11119
5 seasons,,PHI,NBA,,357,302,11816,2461,5168,.476,0,9,.000,2461,5159,.477,2589,3320,.780,1627,2646,4273,451,305,478,1120,856,7511
3 seasons,,ATL,NBA,,244,176,7525,1335,2771,.482,1,28,.036,1334,2743,.486,1363,1714,.795,1021,1414,2435,310,156,258,614,446,4034
2 seasons,,WSB,NBA,,152,148,5180,1126,2401,.469,2,18,.111,1124,2383,.472,1113,1381,.806,712,996,1708,232,118,164,451,299,3367
2 seasons,,MIL,NBA,,93,77,2615,453,971,.467,3,8,.375,450,963,.467,420,535,.785,342,448,790,100,75,72,160,142,1329
1 season,,UTS,ABA,,83,,3205,591,1035,.571,0,1,.000,591,1034,.572,375,591,.635,455,754,1209,82,85,128,320,288,1557
1 season,,SSL,ABA,,43,,1168,251,490,.512,0,2,.000,251,488,.514,112,183,.612,196,217,413,58,25,28,140,113,614
1 season,,SAS,NBA,,17,0,149,13,35,.371,1,2,.500,12,33,.364,22,32,.688,20,26,46,6,2,3,11,15,49
1 season,,BUF,NBA,,2,,6,0,0,,,,,0,0,,0,0,,0,1,1,0,0,0,,1,0
