
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,IND,NBA,SG,82,1,1840,306,627,.488,61,172,.355,245,455,.538,149,186,.801,95,95,190,132,53,19,101,157,822
1988-89,23,IND,NBA,SG,74,70,2536,398,831,.479,98,244,.402,300,587,.511,287,340,.844,73,219,292,227,93,29,143,170,1181
1989-90 ★,24,IND,NBA,SG,82,82,3192,661,1287,.514,150,362,.414,511,925,.552,544,627,.868,95,200,295,311,110,18,222,175,2016
1990-91,25,IND,NBA,SG,82,82,2972,596,1164,.512,112,322,.348,484,842,.575,551,600,.918,81,200,281,331,109,13,163,165,1855
1991-92,26,IND,NBA,SG,82,82,3120,562,1121,.501,129,341,.378,433,780,.555,442,515,.858,82,236,318,314,105,26,157,210,1695
1992-93,27,IND,NBA,SG,82,82,2954,571,1193,.479,167,419,.399,404,774,.522,427,485,.880,67,191,258,262,120,26,145,182,1736
1993-94,28,IND,NBA,SG,79,79,2638,524,1042,.503,123,292,.421,401,750,.535,403,444,.908,30,182,212,248,119,24,175,193,1574
1994-95 ★,29,IND,NBA,SG,81,81,2665,505,1092,.462,195,470,.415,310,622,.498,383,427,.897,30,180,210,242,98,16,151,157,1588
1995-96 ★,30,IND,NBA,SG,76,76,2621,504,1066,.473,168,410,.410,336,656,.512,430,498,.863,38,176,214,253,77,13,189,175,1606
1996-97,31,IND,NBA,SG,81,81,2966,552,1244,.444,229,536,.427,323,708,.456,418,475,.880,53,233,286,273,75,25,166,172,1751
1997-98 ★,32,IND,NBA,SG,81,81,2795,516,1081,.477,164,382,.429,352,699,.504,382,440,.868,46,186,232,171,78,11,128,148,1578
1998-99,33,IND,NBA,SG,50,50,1787,294,671,.438,106,275,.385,188,396,.475,226,247,.915,25,110,135,112,37,9,76,101,920
1999-00 ★,34,IND,NBA,SG,81,81,2987,466,1041,.448,165,404,.408,301,637,.473,373,406,.919,50,189,239,187,85,25,129,126,1470
2000-01,35,IND,NBA,SG,81,81,3181,517,1176,.440,170,464,.366,347,712,.487,323,348,.928,38,247,285,260,81,15,133,162,1527
2001-02,36,IND,NBA,SG,79,79,2889,414,913,.453,180,443,.406,234,470,.498,296,325,.911,23,196,219,253,88,10,120,143,1304
2002-03,37,IND,NBA,SG,70,70,2117,281,637,.441,113,318,.355,168,319,.527,207,230,.900,21,151,172,170,62,4,66,89,882
2003-04,38,IND,NBA,SG,80,80,2254,260,594,.438,134,334,.401,126,260,.485,146,165,.885,18,170,188,249,65,11,68,96,800
2004-05,39,IND,NBA,SG,66,66,2105,314,719,.437,96,298,.322,218,421,.518,250,268,.933,18,138,156,146,50,5,77,109,974
Career,,,NBA,,1389,1304,47619,8241,17499,.471,2560,6486,.395,5681,11013,.516,6237,7026,.888,883,3299,4182,4141,1505,299,2409,2730,25279
