
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,20,DAL,NBA,PF,47,24,958,136,336,.405,14,68,.206,122,268,.455,99,128,.773,41,121,162,47,29,27,73,105,385
1999-00,21,DAL,NBA,PF,82,81,2938,515,1118,.461,116,306,.379,399,812,.491,289,348,.830,102,430,532,203,63,68,141,256,1435
2000-01,22,DAL,NBA,PF,82,82,3125,591,1247,.474,151,390,.387,440,857,.513,451,538,.838,119,635,754,173,79,101,156,245,1784
2001-02 ★,23,DAL,NBA,C,76,76,2891,600,1258,.477,139,350,.397,461,908,.508,440,516,.853,120,635,755,186,83,77,145,222,1779
2002-03 ★,24,DAL,NBA,PF,80,80,3117,690,1489,.463,148,390,.379,542,1099,.493,483,548,.881,81,710,791,239,111,82,152,206,2011
2003-04 ★,25,DAL,NBA,C,77,77,2915,605,1310,.462,99,290,.341,506,1020,.496,371,423,.877,90,580,670,207,92,104,135,216,1680
2004-05 ★,26,DAL,NBA,PF,78,78,3020,663,1445,.459,91,228,.399,572,1217,.470,615,708,.869,96,661,757,240,97,119,176,219,2032
2005-06 ★,27,DAL,NBA,PF,81,81,3089,751,1564,.480,110,271,.406,641,1293,.496,539,598,.901,115,613,728,226,58,83,156,164,2151
2006-07 ★,28,DAL,NBA,PF,78,78,2820,673,1341,.502,72,173,.416,601,1168,.515,498,551,.904,122,571,693,263,52,62,167,171,1916
2007-08 ★,29,DAL,NBA,PF,77,77,2769,630,1314,.479,79,220,.359,551,1094,.504,478,544,.879,95,564,659,266,51,71,160,198,1817
2008-09 ★,30,DAL,NBA,PF,81,81,3050,774,1616,.479,61,170,.359,713,1446,.493,485,545,.890,88,593,681,197,61,63,157,176,2094
2009-10 ★,31,DAL,NBA,PF,81,80,3039,720,1496,.481,51,121,.421,669,1375,.487,536,586,.915,80,540,620,218,70,79,149,208,2027
2010-11 ★,32,DAL,NBA,PF,73,73,2504,610,1179,.517,66,168,.393,544,1011,.538,395,443,.892,50,463,513,190,38,47,137,172,1681
2011-12 ★,33,DAL,NBA,PF,62,62,2079,473,1034,.457,78,212,.368,395,822,.481,318,355,.896,46,372,418,136,42,30,117,129,1342
2012-13,34,DAL,NBA,PF,53,47,1661,343,728,.471,65,157,.414,278,571,.487,166,193,.860,37,326,363,132,38,37,70,93,917
2013-14 ★,35,DAL,NBA,PF,80,80,2628,633,1273,.497,131,329,.398,502,944,.532,338,376,.899,40,458,498,216,73,45,117,165,1735
Career,,,NBA,,1188,1157,42603,9407,19748,.476,1471,3843,.383,7936,15905,.499,6501,7400,.879,1322,8272,9594,3139,1037,1095,2208,2945,26786
