
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85 ★,22,HOU,NBA,C,82,82,2914,677,1258,.538,0,0,,677,1258,.538,338,551,.613,440,534,974,111,99,220,234,344,1692
1985-86 ★,23,HOU,NBA,C,68,68,2467,625,1188,.526,0,0,,625,1188,.526,347,538,.645,333,448,781,137,134,231,195,271,1597
1986-87 ★,24,HOU,NBA,C,75,75,2760,677,1332,.508,1,5,.200,676,1327,.509,400,570,.702,315,543,858,220,140,254,228,294,1755
1987-88 ★,25,HOU,NBA,C,79,79,2825,712,1385,.514,0,4,.000,712,1381,.516,381,548,.695,302,657,959,163,162,214,243,324,1805
1988-89 ★,26,HOU,NBA,C,82,82,3024,790,1556,.508,0,10,.000,790,1546,.511,454,652,.696,338,767,1105,149,213,282,275,329,2034
1989-90 ★,27,HOU,NBA,C,82,82,3124,806,1609,.501,1,6,.167,805,1603,.502,382,536,.713,299,850,1149,234,174,376,316,314,1995
1990-91,28,HOU,NBA,C,56,50,2062,487,959,.508,0,4,.000,487,955,.510,213,277,.769,219,551,770,131,121,221,174,221,1187
1991-92 ★,29,HOU,NBA,C,70,69,2636,591,1177,.502,0,1,.000,591,1176,.503,328,428,.766,246,599,845,157,127,304,187,263,1510
1992-93 ★,30,HOU,NBA,C,82,82,3242,848,1603,.529,0,8,.000,848,1595,.532,444,570,.779,283,785,1068,291,150,342,262,305,2140
1993-94 ★,31,HOU,NBA,C,80,80,3277,894,1694,.528,8,19,.421,886,1675,.529,388,542,.716,229,726,955,287,128,297,271,289,2184
1994-95 ★,32,HOU,NBA,C,72,72,2853,798,1545,.517,3,16,.188,795,1529,.520,406,537,.756,172,603,775,255,133,242,237,250,2005
1995-96 ★,33,HOU,NBA,C,72,72,2797,768,1494,.514,3,14,.214,765,1480,.517,397,548,.724,176,608,784,257,113,207,247,242,1936
1996-97 ★,34,HOU,NBA,C,78,78,2852,727,1426,.510,5,16,.313,722,1410,.512,351,446,.787,173,543,716,236,117,173,281,249,1810
1997-98,35,HOU,NBA,C,47,45,1633,306,633,.483,0,3,.000,306,630,.486,160,212,.755,116,344,460,143,84,96,126,152,772
1998-99,36,HOU,NBA,C,50,50,1784,373,725,.514,4,13,.308,369,712,.518,195,272,.717,106,372,478,88,82,123,139,160,945
1999-00,37,HOU,NBA,C,44,28,1049,193,421,.458,0,2,.000,193,419,.461,69,112,.616,65,209,274,61,41,70,73,88,455
2000-01,38,HOU,NBA,C,58,55,1545,283,568,.498,0,1,.000,283,567,.499,123,198,.621,124,307,431,72,70,88,81,141,689
2001-02,39,TOR,NBA,C,61,37,1378,194,418,.464,0,2,.000,194,416,.466,47,84,.560,98,268,366,66,74,90,98,147,435
Career,,,NBA,,1238,1186,44222,10749,20991,.512,25,124,.202,10724,20867,.514,5423,7621,.712,4034,9714,13748,3058,2162,3830,3667,4383,26946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 seasons,,HOU,NBA,,1177,1149,42844,10555,20573,.513,25,122,.205,10530,20451,.515,5376,7537,.713,3936,9446,13382,2992,2088,3740,3569,4236,26511
1 season,,TOR,NBA,,61,37,1378,194,418,.464,0,2,.000,194,416,.466,47,84,.560,98,268,366,66,74,90,98,147,435
