
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93 ★,20,ORL,NBA,C,81,81,3071,733,1304,.562,0,2,.000,733,1302,.563,427,721,.592,342,780,1122,152,60,286,307,321,1893
1993-94 ★,21,ORL,NBA,C,81,81,3224,953,1591,.599,0,2,.000,953,1589,.600,471,850,.554,384,688,1072,195,76,231,222,281,2377
1994-95 ★,22,ORL,NBA,C,79,79,2923,930,1594,.583,0,5,.000,930,1589,.585,455,854,.533,328,573,901,214,73,192,204,258,2315
1995-96 ★,23,ORL,NBA,C,54,52,1946,592,1033,.573,1,2,.500,591,1031,.573,249,511,.487,182,414,596,155,34,115,155,193,1434
1996-97 ★,24,LAL,NBA,C,51,51,1941,552,991,.557,0,4,.000,552,987,.559,232,479,.484,195,445,640,159,46,147,146,180,1336
1997-98 ★,25,LAL,NBA,C,60,57,2175,670,1147,.584,0,0,,670,1147,.584,359,681,.527,208,473,681,142,39,144,175,193,1699
1998-99,26,LAL,NBA,C,49,49,1705,510,885,.576,0,1,.000,510,884,.577,269,498,.540,187,338,525,114,36,82,122,155,1289
1999-00 ★,27,LAL,NBA,C,79,79,3163,956,1665,.574,0,1,.000,956,1664,.575,432,824,.524,336,742,1078,299,36,239,223,255,2344
2000-01 ★,28,LAL,NBA,C,74,74,2924,813,1422,.572,0,2,.000,813,1420,.573,499,972,.513,291,649,940,277,47,204,218,256,2125
2001-02 ★,29,LAL,NBA,C,67,66,2422,712,1229,.579,0,1,.000,712,1228,.580,398,717,.555,235,480,715,200,41,137,171,199,1822
2002-03 ★,30,LAL,NBA,C,67,66,2535,695,1211,.574,0,0,,695,1211,.574,451,725,.622,259,483,742,206,38,159,196,229,1841
2003-04 ★,31,LAL,NBA,C,67,67,2464,554,948,.584,0,0,,554,948,.584,331,676,.490,246,523,769,196,34,166,195,225,1439
2004-05 ★,32,MIA,NBA,C,73,73,2492,658,1095,.601,0,0,,658,1095,.601,353,765,.461,253,507,760,200,36,171,203,262,1669
2005-06 ★,33,MIA,NBA,C,59,58,1806,480,800,.600,0,0,,480,800,.600,221,471,.469,172,369,541,113,23,104,168,230,1181
2006-07 ★,34,MIA,NBA,C,40,39,1135,283,479,.591,0,0,,283,479,.591,124,294,.422,97,200,297,79,8,55,95,139,690
2007-08,35,TOT,NBA,C,61,61,1748,331,558,.593,0,0,,331,558,.593,170,338,.503,166,388,554,93,32,88,181,228,832
2007-08,35,MIA,NBA,C,33,33,945,191,329,.581,0,0,,191,329,.581,88,178,.494,99,159,258,45,19,54,98,134,470
2007-08,35,PHO,NBA,C,28,28,803,140,229,.611,0,0,,140,229,.611,82,160,.513,67,229,296,48,13,34,83,94,362
2008-09 ★,36,PHO,NBA,C,75,75,2252,512,841,.609,0,1,.000,512,840,.610,309,519,.595,187,446,633,126,49,108,168,253,1333
2009-10,37,CLE,NBA,C,53,53,1240,262,463,.566,0,1,.000,262,462,.567,112,226,.496,93,262,355,80,15,62,105,169,636
2010-11,38,BOS,NBA,C,37,36,752,134,201,.667,0,0,,134,201,.667,73,131,.557,48,130,178,26,16,42,56,120,341
Career,,,NBA,,1207,1197,41918,11330,19457,.582,1,22,.045,11329,19435,.583,5935,11252,.527,4209,8890,13099,3026,739,2732,3310,4146,28596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,LAL,NBA,,514,509,19329,5462,9498,.575,0,9,.000,5462,9489,.576,2971,5572,.533,1957,4133,6090,1593,317,1278,1446,1692,13895
4 seasons,,ORL,NBA,,295,293,11164,3208,5522,.581,1,11,.091,3207,5511,.582,1602,2936,.546,1236,2455,3691,716,243,824,888,1053,8019
4 seasons,,MIA,NBA,,205,203,6378,1612,2703,.596,0,0,,1612,2703,.596,786,1708,.460,621,1235,1856,437,86,384,564,765,4010
2 seasons,,PHO,NBA,,103,103,3055,652,1070,.609,0,1,.000,652,1069,.610,391,679,.576,254,675,929,174,62,142,251,347,1695
1 season,,CLE,NBA,,53,53,1240,262,463,.566,0,1,.000,262,462,.567,112,226,.496,93,262,355,80,15,62,105,169,636
1 season,,BOS,NBA,,37,36,752,134,201,.667,0,0,,134,201,.667,73,131,.557,48,130,178,26,16,42,56,120,341
