
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,SEA,NBA,PG,82,82,2244,259,575,.450,1,13,.077,258,562,.459,69,97,.711,108,135,243,528,165,15,180,249,588
1991-92,23,SEA,NBA,PG,81,79,2549,331,734,.451,3,23,.130,328,711,.461,99,148,.669,123,172,295,506,147,21,174,248,764
1992-93,24,SEA,NBA,PG,82,78,2548,476,963,.494,7,34,.206,469,929,.505,151,196,.770,95,186,281,399,177,21,148,250,1110
1993-94 ★,25,SEA,NBA,PG,82,82,2881,584,1159,.504,15,54,.278,569,1105,.515,166,279,.595,105,164,269,494,188,19,173,227,1349
1994-95 ★,26,SEA,NBA,PG,82,82,3015,685,1345,.509,70,232,.302,615,1113,.553,249,348,.716,108,173,281,583,204,13,201,206,1689
1995-96 ★,27,SEA,NBA,PG,81,81,3162,618,1276,.484,98,299,.328,520,977,.532,229,306,.748,104,235,339,608,231,19,260,221,1563
1996-97 ★,28,SEA,NBA,PG,82,82,3213,706,1482,.476,119,380,.313,587,1102,.533,254,355,.715,106,272,378,583,197,13,215,208,1785
1997-98 ★,29,SEA,NBA,PG,82,82,3145,579,1278,.453,134,397,.338,445,881,.505,279,375,.744,77,299,376,679,185,18,229,195,1571
1998-99,30,SEA,NBA,PG,50,50,2008,401,923,.434,83,281,.295,318,642,.495,199,276,.721,62,182,244,436,109,12,154,115,1084
1999-00 ★,31,SEA,NBA,PG,82,82,3425,747,1666,.448,177,520,.340,570,1146,.497,311,423,.735,100,429,529,732,153,18,224,178,1982
2000-01 ★,32,SEA,NBA,PG,79,79,3244,725,1591,.456,102,272,.375,623,1319,.472,271,354,.766,73,288,361,642,127,26,209,184,1823
2001-02 ★,33,SEA,NBA,PG,82,82,3301,737,1578,.467,74,236,.314,663,1342,.494,267,335,.797,80,316,396,737,131,26,209,179,1815
2002-03 ★,34,TOT,NBA,PG,80,80,3208,665,1466,.454,54,182,.297,611,1284,.476,250,352,.710,79,255,334,663,133,20,187,181,1634
2002-03 ★,34,SEA,NBA,PG,52,52,2123,444,992,.448,34,114,.298,410,878,.467,162,234,.692,56,192,248,457,93,12,131,117,1084
2002-03 ★,34,MIL,NBA,PG,28,28,1085,221,474,.466,20,68,.294,201,406,.495,88,118,.746,23,63,86,206,40,8,56,64,550
2003-04,35,LAL,NBA,PG,82,82,2825,482,1024,.471,55,165,.333,427,859,.497,180,252,.714,72,270,342,449,96,19,151,169,1199
2004-05,36,BOS,NBA,PG,77,77,2541,339,725,.468,42,129,.326,297,596,.498,153,201,.761,48,188,236,469,88,12,148,121,873
2005-06,37,MIA,NBA,PG,81,25,2305,230,547,.420,66,230,.287,164,317,.517,100,126,.794,34,199,233,257,71,10,102,169,626
2006-07,38,MIA,NBA,PG,68,28,1503,144,366,.393,32,123,.260,112,243,.461,38,57,.667,18,114,132,201,43,3,66,117,358
Career,,,NBA,,1335,1233,47117,8708,18698,.466,1132,3570,.317,7576,15128,.501,3265,4480,.729,1392,3877,5269,8966,2445,285,3030,3217,21813
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 seasons,,SEA,NBA,,999,993,36858,7292,15562,.469,917,2855,.321,6375,12707,.502,2706,3726,.726,1197,3043,4240,7384,2107,233,2507,2577,18207
2 seasons,,MIA,NBA,,149,53,3808,374,913,.410,98,353,.278,276,560,.493,138,183,.754,52,313,365,458,114,13,168,286,984
1 season,,LAL,NBA,,82,82,2825,482,1024,.471,55,165,.333,427,859,.497,180,252,.714,72,270,342,449,96,19,151,169,1199
1 season,,BOS,NBA,,77,77,2541,339,725,.468,42,129,.326,297,596,.498,153,201,.761,48,188,236,469,88,12,148,121,873
1 season,,MIL,NBA,,28,28,1085,221,474,.466,20,68,.294,201,406,.495,88,118,.746,23,63,86,206,40,8,56,64,550
