
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1954-55 ★,22,MLH,NBA,PF,72,,2659,520,1279,.407,,,,520,1279,.407,426,567,.751,,,994,229,,,,258,1466
1955-56 ★,23,STL,NBA,C,72,,2794,646,1507,.429,,,,646,1507,.429,557,757,.736,,,1164,189,,,,202,1849
1956-57 ★,24,STL,NBA,C,71,,2491,613,1477,.415,,,,613,1477,.415,529,684,.773,,,1037,133,,,,181,1755
1957-58 ★,25,STL,NBA,PF,70,,2528,581,1418,.410,,,,581,1418,.410,557,744,.749,,,1216,157,,,,222,1719
1958-59 ★,26,STL,NBA,PF,72,,2873,719,1640,.438,,,,719,1640,.438,667,879,.759,,,1182,221,,,,200,2105
1959-60 ★,27,STL,NBA,PF,72,,2896,669,1526,.438,,,,669,1526,.438,544,722,.753,,,1221,257,,,,204,1882
1960-61 ★,28,STL,NBA,PF,76,,3027,769,1720,.447,,,,769,1720,.447,582,804,.724,,,1540,262,,,,217,2120
1961-62 ★,29,STL,NBA,PF,78,,3282,867,1928,.450,,,,867,1928,.450,695,901,.771,,,1459,289,,,,296,2429
1962-63 ★,30,STL,NBA,PF,79,,3090,778,1746,.446,,,,778,1746,.446,685,885,.774,,,1191,245,,,,282,2241
1963-64 ★,31,STL,NBA,PF,80,,3296,791,1708,.463,,,,791,1708,.463,608,771,.789,,,1224,259,,,,300,2190
1964-65 ★,32,STL,NBA,PF,50,,1754,396,923,.429,,,,396,923,.429,332,405,.820,,,621,128,,,,167,1124
Career,,,NBA,,792,,30690,7349,16872,.436,,,,7349,16872,.436,6182,8119,.761,,,12849,2369,,,,2529,20880
