
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,23,GSW,NBA,SG,79,79,2717,649,1386,.468,33,90,.367,616,1296,.475,410,506,.810,158,310,468,334,82,13,269,223,1741
1989-90,24,GSW,NBA,SG,78,78,2799,640,1287,.497,34,95,.358,606,1192,.508,406,469,.866,98,262,360,223,98,24,201,210,1720
1990-91,25,GSW,NBA,SG,77,77,3027,703,1424,.494,40,115,.348,663,1309,.506,394,465,.847,147,305,452,238,126,34,230,207,1840
1991-92,26,SAC,NBA,SG,80,80,3095,685,1465,.468,103,268,.384,582,1197,.486,330,406,.813,62,257,319,411,92,34,247,231,1803
1992-93 ★,27,SAC,NBA,SG,45,45,1728,371,782,.474,48,130,.369,323,652,.495,197,233,.845,18,136,154,221,53,9,130,137,987
1993-94 ★,28,SAC,NBA,SG,78,78,2897,635,1428,.445,127,312,.407,508,1116,.455,426,511,.834,70,216,286,313,103,17,216,211,1823
1994-95 ★,29,SAC,NBA,SG,82,82,3172,668,1497,.446,156,424,.368,512,1073,.477,375,445,.843,69,288,357,311,91,29,234,227,1867
1995-96 ★,30,SAC,NBA,SG,81,81,2946,611,1368,.447,225,515,.437,386,853,.453,425,491,.866,54,215,269,255,125,19,220,233,1872
1996-97 ★,31,SAC,NBA,SG,81,81,3125,717,1578,.454,204,477,.428,513,1101,.466,457,531,.861,59,260,319,338,118,24,237,211,2095
1997-98 ★,32,SAC,NBA,SG,70,70,2569,543,1220,.445,130,334,.389,413,886,.466,407,471,.864,50,179,229,279,88,15,181,154,1623
1998-99,33,WAS,NBA,SG,50,50,1912,331,803,.412,70,221,.317,261,582,.448,251,293,.857,30,142,172,122,64,10,136,121,983
1999-00,34,WAS,NBA,SG,74,69,2397,447,1049,.426,93,241,.386,354,808,.438,298,340,.876,37,176,213,185,110,13,154,191,1285
2000-01,35,WAS,NBA,SG,37,30,1216,205,504,.407,45,133,.338,160,371,.431,143,160,.894,15,94,109,111,43,7,84,86,598
2001-02,36,LAL,NBA,SG,64,2,709,100,247,.405,18,62,.290,82,185,.443,42,44,.955,14,80,94,57,18,6,40,61,260
Career,,,NBA,,976,902,34309,7305,16038,.455,1326,3417,.388,5979,12621,.474,4561,5365,.850,881,2920,3801,3398,1211,254,2579,2503,20497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,SAC,NBA,,517,517,19532,4230,9338,.453,993,2460,.404,3237,6878,.471,2617,3088,.847,382,1551,1933,2128,670,147,1465,1404,12070
3 seasons,,GSW,NBA,,234,234,8543,1992,4097,.486,107,300,.357,1885,3797,.496,1210,1440,.840,403,877,1280,795,306,71,700,640,5301
3 seasons,,WAS,NBA,,161,149,5525,983,2356,.417,208,595,.350,775,1761,.440,692,793,.873,82,412,494,418,217,30,374,398,2866
1 season,,LAL,NBA,,64,2,709,100,247,.405,18,62,.290,82,185,.443,42,44,.955,14,80,94,57,18,6,40,61,260
