
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1960-61 ★,22,CIN,NBA,PG,71,,3032,756,1600,.473,,,,756,1600,.473,653,794,.822,,,716,690,,,,219,2165
1961-62 ★,23,CIN,NBA,PG,79,,3503,866,1810,.478,,,,866,1810,.478,700,872,.803,,,985,899,,,,258,2432
1962-63 ★,24,CIN,NBA,PG,80,,3521,825,1593,.518,,,,825,1593,.518,614,758,.810,,,835,758,,,,293,2264
1963-64 ★,25,CIN,NBA,PG,79,,3559,840,1740,.483,,,,840,1740,.483,800,938,.853,,,783,868,,,,280,2480
1964-65 ★,26,CIN,NBA,PG,75,,3421,807,1681,.480,,,,807,1681,.480,665,793,.839,,,674,861,,,,205,2279
1965-66 ★,27,CIN,NBA,PG,76,,3493,818,1723,.475,,,,818,1723,.475,742,881,.842,,,586,847,,,,227,2378
1966-67 ★,28,CIN,NBA,PG,79,,3468,838,1699,.493,,,,838,1699,.493,736,843,.873,,,486,845,,,,226,2412
1967-68 ★,29,CIN,NBA,PG,65,,2765,660,1321,.500,,,,660,1321,.500,576,660,.873,,,391,633,,,,199,1896
1968-69 ★,30,CIN,NBA,PG,79,,3461,656,1351,.486,,,,656,1351,.486,643,767,.838,,,502,772,,,,231,1955
1969-70 ★,31,CIN,NBA,PG,69,,2865,647,1267,.511,,,,647,1267,.511,454,561,.809,,,422,558,,,,175,1748
1970-71 ★,32,MIL,NBA,PG,81,,3194,592,1193,.496,,,,592,1193,.496,385,453,.850,,,462,668,,,,203,1569
1971-72 ★,33,MIL,NBA,PG,64,,2390,419,887,.472,,,,419,887,.472,276,330,.836,,,323,491,,,,116,1114
1972-73,34,MIL,NBA,PG,73,,2737,446,983,.454,,,,446,983,.454,238,281,.847,,,360,551,,,,167,1130
1973-74,35,MIL,NBA,PG,70,,2477,338,772,.438,,,,338,772,.438,212,254,.835,71,208,279,446,77,4,,132,888
Career,,,NBA,,1040,,43886,9508,19620,.485,,,,9508,19620,.485,7694,9185,.838,71,208,7804,9887,77,4,,2931,26710
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,CIN,NBA,,752,,33088,7713,15785,.489,,,,7713,15785,.489,6583,7867,.837,,,6380,7731,,,,2313,22009
4 seasons,,MIL,NBA,,288,,10798,1795,3835,.468,,,,1795,3835,.468,1111,1318,.843,71,208,1424,2156,77,4,,618,4701
