
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,UTA,NBA,PG,82,5,1490,157,333,.471,2,11,.182,155,322,.481,142,193,.736,26,79,105,415,109,11,150,203,458
1985-86,23,UTA,NBA,PG,82,38,1935,228,466,.489,2,15,.133,226,451,.501,172,205,.839,33,146,179,610,157,10,168,227,630
1986-87,24,UTA,NBA,PG,82,2,1858,231,463,.499,7,39,.179,224,424,.528,179,229,.782,32,119,151,670,177,14,164,224,648
1987-88,25,UTA,NBA,PG,82,79,2842,454,791,.574,24,67,.358,430,724,.594,272,324,.840,54,183,237,1128,242,16,262,247,1204
1988-89 ★,26,UTA,NBA,PG,82,82,3171,497,923,.538,16,66,.242,481,857,.561,390,452,.863,83,165,248,1118,263,14,308,241,1400
1989-90 ★,27,UTA,NBA,PG,78,78,2915,472,918,.514,47,113,.416,425,805,.528,354,432,.819,57,149,206,1134,207,18,272,233,1345
1990-91 ★,28,UTA,NBA,PG,82,82,3103,496,978,.507,58,168,.345,438,810,.541,363,434,.836,46,191,237,1164,234,16,298,233,1413
1991-92 ★,29,UTA,NBA,PG,82,82,3002,453,939,.482,83,204,.407,370,735,.503,308,366,.842,68,202,270,1126,244,22,286,234,1297
1992-93 ★,30,UTA,NBA,PG,82,82,2863,437,899,.486,72,187,.385,365,712,.513,293,367,.798,64,173,237,987,199,21,266,224,1239
1993-94 ★,31,UTA,NBA,PG,82,82,2969,458,868,.528,48,149,.322,410,719,.570,272,338,.805,72,186,258,1031,199,22,266,236,1236
1994-95 ★,32,UTA,NBA,PG,82,82,2867,429,791,.542,102,227,.449,327,564,.580,246,306,.804,57,194,251,1011,194,22,267,215,1206
1995-96 ★,33,UTA,NBA,PG,82,82,2915,440,818,.538,95,225,.422,345,593,.582,234,282,.830,54,172,226,916,140,15,246,207,1209
1996-97 ★,34,UTA,NBA,PG,82,82,2896,416,759,.548,76,180,.422,340,579,.587,275,325,.846,45,183,228,860,166,15,248,194,1183
1997-98,35,UTA,NBA,PG,64,64,1858,270,511,.528,39,91,.429,231,420,.550,191,231,.827,35,131,166,543,89,10,161,138,770
1998-99,36,UTA,NBA,PG,50,50,1410,200,410,.488,16,50,.320,184,360,.511,137,169,.811,31,115,146,374,81,13,110,107,553
1999-00 ★,37,UTA,NBA,PG,82,82,2432,363,725,.501,43,121,.355,320,604,.530,221,257,.860,45,170,215,703,143,15,179,192,990
2000-01,38,UTA,NBA,PG,82,82,2397,328,651,.504,61,132,.462,267,519,.514,227,278,.817,54,173,227,713,132,21,203,194,944
2001-02,39,UTA,NBA,PG,82,82,2566,401,775,.517,25,78,.321,376,697,.539,275,321,.857,59,204,263,674,152,24,208,209,1102
2002-03,40,UTA,NBA,PG,82,82,2275,309,640,.483,29,80,.363,280,560,.500,237,287,.826,51,150,201,629,137,16,182,184,884
Career,,,NBA,,1504,1300,47764,7039,13658,.515,845,2203,.384,6194,11455,.541,4788,5796,.826,966,3085,4051,15806,3265,315,4244,3942,19711
