
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1960-61 ★,22,LAL,NBA,PG,79,,2797,529,1264,.419,,,,529,1264,.419,331,497,.666,,,611,333,,,,213,1389
1961-62 ★,23,LAL,NBA,PG,75,,3087,799,1795,.445,,,,799,1795,.445,712,926,.769,,,591,402,,,,173,2310
1962-63 ★,24,LAL,NBA,PG,55,,2163,559,1213,.461,,,,559,1213,.461,371,477,.778,,,384,307,,,,150,1489
1963-64 ★,25,LAL,NBA,PG,72,,2906,740,1529,.484,,,,740,1529,.484,584,702,.832,,,433,403,,,,200,2064
1964-65 ★,26,LAL,NBA,PG,74,,3066,822,1655,.497,,,,822,1655,.497,648,789,.821,,,447,364,,,,221,2292
1965-66 ★,27,LAL,NBA,PG,79,,3218,818,1731,.473,,,,818,1731,.473,840,977,.860,,,562,480,,,,243,2476
1966-67 ★,28,LAL,NBA,PG,66,,2670,645,1389,.464,,,,645,1389,.464,602,686,.878,,,392,447,,,,160,1892
1967-68 ★,29,LAL,NBA,SG,51,,1919,476,926,.514,,,,476,926,.514,391,482,.811,,,294,310,,,,152,1343
1968-69 ★,30,LAL,NBA,SG,61,,2394,545,1156,.471,,,,545,1156,.471,490,597,.821,,,262,423,,,,156,1580
1969-70 ★,31,LAL,NBA,PG,74,,3106,831,1673,.497,,,,831,1673,.497,647,785,.824,,,338,554,,,,160,2309
1970-71 ★,32,LAL,NBA,PG,69,,2845,667,1351,.494,,,,667,1351,.494,525,631,.832,,,320,655,,,,180,1859
1971-72 ★,33,LAL,NBA,PG,77,,2973,735,1540,.477,,,,735,1540,.477,515,633,.814,,,327,747,,,,209,1985
1972-73 ★,34,LAL,NBA,PG,69,,2460,618,1291,.479,,,,618,1291,.479,339,421,.805,,,289,607,,,,138,1575
1973-74 ★,35,LAL,NBA,PG,31,,967,232,519,.447,,,,232,519,.447,165,198,.833,30,86,116,206,81,23,,80,629
Career,,,NBA,,932,,36571,9016,19032,.474,,,,9016,19032,.474,7160,8801,.814,30,86,5366,6238,81,23,,2435,25192
