
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,23,ATL,NBA,SF,82,82,2697,601,1220,.493,2,11,.182,599,1209,.495,230,337,.682,226,252,478,129,84,63,180,210,1434
1983-84,24,ATL,NBA,SF,81,81,2961,684,1429,.479,0,11,.000,684,1418,.482,382,496,.770,254,328,582,126,117,87,215,197,1750
1984-85,25,ATL,NBA,SF,81,81,3023,853,1891,.451,25,81,.309,828,1810,.457,486,603,.806,226,331,557,200,135,54,225,170,2217
1985-86 ★,26,ATL,NBA,SF,78,78,3049,888,1897,.468,13,70,.186,875,1827,.479,577,705,.818,261,357,618,206,138,49,251,170,2366
1986-87 ★,27,ATL,NBA,SF,79,79,2969,828,1787,.463,31,106,.292,797,1681,.474,607,742,.818,210,284,494,261,117,51,215,149,2294
1987-88 ★,28,ATL,NBA,SF,78,76,2948,909,1957,.464,38,129,.295,871,1828,.476,541,655,.826,211,291,502,224,103,47,218,162,2397
1988-89 ★,29,ATL,NBA,SF,80,80,2997,814,1756,.464,29,105,.276,785,1651,.475,442,524,.844,256,297,553,211,117,52,181,138,2099
1989-90 ★,30,ATL,NBA,SF,80,79,2888,810,1672,.484,59,183,.322,751,1489,.504,459,569,.807,217,304,521,200,126,47,174,141,2138
1990-91 ★,31,ATL,NBA,SF,81,81,3078,770,1640,.470,85,249,.341,685,1391,.492,476,574,.829,261,471,732,265,123,65,201,156,2101
1991-92 ★,32,ATL,NBA,SF,42,42,1601,424,914,.464,37,128,.289,387,786,.492,294,352,.835,103,192,295,158,52,24,122,77,1179
1992-93 ★,33,ATL,NBA,SF,71,70,2647,741,1584,.468,120,316,.380,621,1268,.490,519,627,.828,187,295,482,227,70,27,184,116,2121
1993-94 ★,34,TOT,NBA,SF,74,74,2635,698,1588,.440,85,295,.288,613,1293,.474,442,522,.847,182,299,481,169,92,30,172,126,1923
1993-94 ★,34,ATL,NBA,SF,49,49,1687,430,996,.432,61,198,.308,369,798,.462,275,322,.854,119,186,305,114,63,22,120,87,1196
1993-94 ★,34,LAC,NBA,SF,25,25,948,268,592,.453,24,97,.247,244,495,.493,167,200,.835,63,113,176,55,29,8,52,39,727
1994-95,35,BOS,NBA,SF,77,64,2423,496,1169,.424,112,289,.388,384,880,.436,266,340,.782,157,244,401,166,61,14,173,130,1370
1995-96,36,Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece)
1996-97,37,SAS,NBA,SF,63,26,1945,397,953,.417,70,239,.293,327,714,.458,281,350,.803,169,233,402,119,39,31,135,100,1145
1997-98,38,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1998-99,39,ORL,NBA,SF,27,2,252,50,132,.379,5,19,.263,45,113,.398,29,42,.690,30,41,71,16,4,1,23,19,134
Career,,,NBA,,1074,995,38113,9963,21589,.461,711,2231,.319,9252,19358,.478,6031,7438,.811,2950,4219,7169,2677,1378,642,2669,2061,26668
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 seasons,,ATL,NBA,,882,878,32545,8752,18743,.467,500,1587,.315,8252,17156,.481,5288,6506,.813,2531,3588,6119,2321,1245,588,2286,1773,23292
1 season,,BOS,NBA,,77,64,2423,496,1169,.424,112,289,.388,384,880,.436,266,340,.782,157,244,401,166,61,14,173,130,1370
1 season,,SAS,NBA,,63,26,1945,397,953,.417,70,239,.293,327,714,.458,281,350,.803,169,233,402,119,39,31,135,100,1145
1 season,,ORL,NBA,,27,2,252,50,132,.379,5,19,.263,45,113,.398,29,42,.690,30,41,71,16,4,1,23,19,134
1 season,,LAC,NBA,,25,25,948,268,592,.453,24,97,.247,244,495,.493,167,200,.835,63,113,176,55,29,8,52,39,727
